qbeam	Lateral Force (kN)
0.027483473	11.17
0.055948531	21.19
0.091780816	31.66
0.113822606	41.58
0.133767859	51.89
0.148354647	62.05
0.191134205	71.9
0.197999728	82.13
0.218599226	92.18
0.236727456	101.8
0.285827012	111.83
0.284691862	121.68
0.316457358	131.82
0.334398062	141.7
0.361970744	151.82
0.384901635	161.93
0.35893035	150.78
0.329040708	140.16
0.306797838	130.24
0.280414188	119.98
0.250947935	110.23
0.22209843	99.96
0.219611853	89.74
0.184361733	79.74
0.183231948	69.95
0.116164336	59.62
0.116489866	49.62
0.097914306	39.74
0.068679285	29.52
0.031973867	18.9
0.018102335	9.55
0.011736271	-0.64
-0.032592665	-10.28
-0.05396711	-20
-0.079573554	-29.96
-0.108632778	-40.34
-0.121712794	-50.06
-0.154556776	-60.23
-0.171736561	-70.23
-0.200318612	-80.24
-0.213456012	-90.7
-0.239234748	-100.94
-0.263353816	-111.15
-0.290297972	-120.88
-0.317099603	-131.44
-0.334699041	-141.37
-0.360397721	-151.18
-0.383769186	-161.4
-0.355154078	-149.23
-0.323472473	-138.17
-0.302939284	-127.72
-0.282738867	-117.52
-0.249140354	-107.52
-0.228903626	-96.96
-0.192432838	-87.02
-0.179129692	-76.59
-0.146223163	-66.46
-0.110377669	-56.44
-0.10782497	-46.55
-0.078617796	-36.55
-0.054229098	-26.67
-0.037591019	-16.8
-0.004428775	-7.12
0.016975863	2.79
0.03041148	12.45
0.071431082	22.15
0.079507362	32.91
0.104299255	42.88
0.134487971	52.92
0.158321526	62.57
0.181531858	72.68
0.206878288	82.94
0.21730883	92.83
0.254866048	102.74
0.266655847	112.48
0.274325509	122.74
0.32075695	132.2
0.333453056	142.6
0.361768086	152.86
0.385594739	162.64
0.36257109	152.4
0.332462267	141.69
0.307877782	131.54
0.289570456	121.67
0.247528368	111.51
0.237372896	101.34
0.215660628	91.31
0.172402522	81.34
0.16851286	71.42
0.130846572	61.22
0.11264492	51.27
0.078964785	41.16
0.070456698	31.2
0.032764327	20.9
0.020018049	10.68
0.003198067	0.99
-0.020588884	-8.57
-0.050467469	-18.43
-0.07498267	-28.51
-0.100754059	-38.37
-0.129449289	-48.75
-0.148881503	-58.59
-0.168651841	-68.71
-0.198456744	-78.84
-0.220709739	-89.01
-0.241990901	-99.24
-0.265031233	-109.25
-0.284559148	-119.39
-0.311643233	-129.64
-0.332381456	-139.76
-0.365398646	-150.04
-0.377675849	-160.19
-0.36517943	-149.9
-0.340017891	-138.71
-0.301975221	-128.05
-0.278242127	-117.53
-0.248150519	-107.71
-0.233050004	-96.89
-0.204084493	-86.98
-0.171350801	-76.89
-0.147784964	-66.61
-0.116259189	-56.43
-0.099917613	-46.66
-0.082287283	-36.69
-0.058483143	-26.7
-0.033984687	-16.97
-0.007178292	-7.12
0.02354055	2.75
0.027839704	12.3
0.075368804	22.26
0.075293854	32.44
0.111566994	42.6
0.135595541	52.73
0.183338774	62.55
0.190445528	72.88
0.210391442	82.75
0.243696427	92.6
0.240787745	102.84
0.281724704	112.61
0.291447816	122.39
0.306306366	132.18
0.336974083	142.51
0.371770158	152.79
0.391760378	162.79
0.344561894	152.79
0.338184563	141.93
0.302046437	131.81
0.283153435	121.59
0.253781017	111.51
0.22216535	101.59
0.20393658	91.52
0.187971423	81.49
0.161831856	71.6
0.131190568	61.39
0.103120993	51.28
0.091615513	41.39
0.069488724	31.24
0.028268031	20.78
0.018293317	10.37
0.003890576	1.16
-0.008821547	-8.84
-0.064437834	-18.6
-0.07169521	-28.46
-0.093477481	-38.73
-0.115068052	-48.53
-0.147941574	-58.55
-0.1781883	-68.68
-0.189866696	-79.04
-0.224204299	-88.86
-0.245401339	-99.11
-0.271036499	-109.61
-0.285002871	-119.32
-0.312170067	-129.69
-0.341498651	-139.68
-0.358550662	-150.05
-0.389947687	-160.08
-0.353907147	-149.55
-0.334630797	-138.49
-0.301729375	-127.97
-0.289194014	-117.64
-0.253211952	-107.44
-0.221083232	-97.11
-0.195106332	-87.15
-0.180664465	-76.55
-0.153851174	-66.44
-0.122706231	-56.7
-0.099993167	-46.55
-0.07193656	-36.93
-0.062185196	-26.54
-0.042562415	-16.96
-0.011124805	-7.04
0.005102685	2.71
0.024007658	12.38
0.059585846	22.39
0.091073073	32.92
0.111766671	42.92
0.139441366	52.66
0.164733538	62.83
0.187365886	73.05
0.200301293	82.89
0.228715559	92.78
0.245798978	102.81
0.271517558	112.57
0.285781615	122.67
0.32898949	132.54
0.341688282	142.49
0.365386886	152.8
0.375176187	162.73
0.365695025	152.65
0.318310716	142.04
0.321589825	131.51
0.290350965	121.34
0.258759225	111.62
0.242466664	101.4
0.206085321	91.48
0.176178833	81.61
0.16049616	71.4
0.140957546	61.39
0.104035386	51.4
0.074452611	41.54
0.076622031	31.22
0.026997902	20.92
0.024563337	10.68
0.005368162	0.98
-0.029493985	-8.83
-0.068139477	-18.64
-0.077523643	-28.2
-0.102554234	-38.61
-0.11864818	-48.47
