[NODE]-[N4]-[1]-[2]     [BEAMCOLUMN]-[E3]-[1]-[2]
-8.1     -44.0883
-9     -48.987
-9.9     -53.8857
-10.8     -58.7844
-11.7     -63.6831
-12.6     -68.5818
-13.5     -73.4805
-14.4     -78.3792
-15.3     -83.278
-16.2     -88.1767
-17.1     -93.0754
-18     -97.9741
-18.9     -102.873
-19.8     -107.771
-20.7     -112.67
-21.6     -117.569
-22.5     -122.468
-21.6     -117.569
-20.7     -112.67
-19.8     -107.771
-18.9     -102.873
-18     -97.9741
-17.1     -93.0754
-16.2     -88.1767
-15.3     -83.278
-14.4     -78.3792
-13.5     -73.4805
-12.6     -68.5818
-11.7     -63.6831
-10.8     -58.7844
-9.9     -53.8857
-9     -48.987
-8.1     -44.0883
-7.2     -39.1896
-6.3     -34.2909
-5.4     -29.3922
-4.5     -24.4935
-3.6     -19.5948
-2.7     -14.6961
-1.8     -9.79741
-0.9     -4.8987
-1.54321e-14     1.51246e-14
0.9     4.8987
1.8     9.79741
2.7     14.6961
3.6     19.5948
4.5     24.4935
5.4     29.3922
6.3     34.2909
7.2     39.1896
8.1     44.0883
9     48.987
9.9     53.8857
10.8     58.7844
11.7     63.6831
12.6     68.5818
13.5     73.4805
14.4     78.3792
15.3     83.278
16.2     88.1767
17.1     93.0754
18     97.9741
18.9     102.873
19.8     107.771
20.7     112.67
21.6     117.569
22.5     122.468
21.6     117.569
20.7     112.67
19.8     107.771
18.9     102.873
18     97.9741
17.1     93.0754
16.2     88.1767
15.3     83.278
14.4     78.3792
13.5     73.4805
12.6     68.5818
11.7     63.6831
10.8     58.7844
9.9     53.8857
9     48.987
8.1     44.0883
7.2     39.1896
6.3     34.2909
5.4     29.3922
4.5     24.4935
3.6     19.5948
2.7     14.6961
1.8     9.79741
0.9     4.8987
-1.65423e-14     -1.25225e-14
-0.9     -4.8987
-1.8     -9.79741
-2.7     -14.6961
-3.6     -19.5948
-4.5     -24.4935
-5.4     -29.3922
-6.3     -34.2909
-7.2     -39.1896
-8.1     -44.0883
-9     -48.987
-9.9     -53.8857
-10.8     -58.7844
-11.7     -63.6831
-12.6     -68.5818
-13.5     -73.4805
-14.4     -78.3792
-15.3     -83.278
-16.2     -88.1767
-17.1     -93.0754
-18     -97.9741
-18.9     -102.873
-19.8     -107.771
-20.7     -112.67
-21.6     -117.569
-22.5     -122.468
-21.6     -117.569
-20.7     -112.67
-19.8     -107.771
-18.9     -102.873
-18     -97.9741
-17.1     -93.0754
-16.2     -88.1767
-15.3     -83.278
-14.4     -78.3792
-13.5     -73.4805
-12.6     -68.5818
-11.7     -63.6831
-10.8     -58.7844
-9.9     -53.8857
-9     -48.987
-8.1     -44.0883
-7.2     -39.1896
-6.3     -34.2909
-5.4     -29.3922
-4.5     -24.4935
-3.6     -19.5948
-2.7     -14.6961
-1.8     -9.79741
-0.9     -4.8987
-1.54321e-14     1.51246e-14
0.9     4.8987
1.8     9.79741
2.7     14.6961
3.6     19.5948
4.5     24.4935
5.4     29.3922
6.3     34.2909
7.2     39.1896
8.1     44.0883
9     48.987
9.9     53.8857
10.8     58.7844
11.7     63.6831
12.6     68.5818
13.5     73.4805
14.4     78.3792
15.3     83.278
16.2     88.1767
17.1     93.0754
18     97.9741
18.9     102.873
19.8     107.771
20.7     112.67
