U_Link_disp     U_Link_shear
-0.000488109     -909.562
-0.00055254     -939.299
-0.00061697     -969.037
-0.000681401     -998.774
-0.000745832     -1028.51
-0.000810263     -1058.25
-0.000874694     -1087.99
-0.000927658     -1112.43
-0.000967659     -1130.89
-0.00100142     -1146.47
-0.00103133     -1160.28
-0.00105857     -1172.85
-0.00108382     -1184.51
-0.0011075     -1195.44
-0.00112992     -1205.78
-0.0011604     -1215.55
-0.00125173     -1224.3
-0.00139753     -1232.19
-0.00158605     -1239.42
-0.00180916     -1246.11
-0.002061     -1252.34
-0.00233721     -1258.2
-0.00263439     -1263.73
-0.00294989     -1268.97
-0.00328155     -1273.96
-0.00362762     -1278.72
-0.00398662     -1283.28
-0.00435733     -1287.66
-0.0042929     -1257.92
-0.00422847     -1228.18
-0.00416404     -1198.45
-0.00409961     -1168.71
-0.00403518     -1138.97
-0.00397075     -1109.24
-0.00390631     -1079.5
-0.00384188     -1049.76
-0.00377745     -1020.02
-0.00371302     -990.287
-0.00364859     -960.549
-0.00358416     -930.812
-0.00351973     -901.075
-0.0034553     -871.337
-0.00339087     -841.6
-0.00332644     -811.863
-0.00326201     -782.125
-0.00319758     -752.388
-0.00313314     -722.651
-0.00306871     -692.914
-0.00300428     -663.176
-0.00293985     -633.439
-0.00287542     -603.702
-0.00281099     -573.964
-0.00274656     -544.227
-0.00268213     -514.49
-0.0026177     -484.753
-0.00255327     -455.015
-0.00248884     -425.278
-0.00242441     -395.541
-0.00235997     -365.803
-0.00229554     -336.066
-0.00223111     -306.329
-0.00216668     -276.591
-0.00210225     -246.854
-0.00203782     -217.117
-0.00197339     -187.38
-0.00190896     -157.642
-0.00184453     -127.905
-0.0017801     -98.1676
-0.00171567     -68.4303
-0.00165124     -38.693
-0.0015868     -8.95572
-0.00152237     20.7816
-0.00145794     50.5189
-0.00139351     80.2562
-0.00132908     109.993
-0.00126465     139.731
-0.00120022     169.468
-0.00113579     199.205
-0.00107136     228.943
-0.00100693     258.68
-0.000942497     288.417
-0.000878066     318.155
-0.000813635     347.892
-0.000749204     377.629
-0.000684774     407.366
-0.000620343     437.104
-0.000555912     466.841
-0.000491481     496.578
-0.00042705     526.316
-0.00036262     556.053
-0.000298189     585.79
-0.000233758     615.528
-0.000169327     645.265
-0.000104896     675.002
-4.04655e-05     704.739
2.39653e-05     734.477
8.83961e-05     764.214
0.000152827     793.951
0.000217258     823.689
0.000281689     853.426
0.000346119     883.163
0.00041055     912.901
0.000474981     942.638
0.000539412     972.375
0.000603843     1002.11
0.000668273     1031.85
0.000732704     1061.59
0.000786207     1086.28
0.000827027     1105.12
0.000861592     1121.07
0.000892268     1135.23
0.000920225     1148.14
0.000946146     1160.1
0.000970468     1171.32
0.000993492     1181.95
0.00103752     1191.85
0.00114634     1200.68
0.00130629     1208.67
0.0015066     1216
0.00173977     1222.8
0.00200036     1229.16
0.00228426     1235.14
0.00258831     1240.79
0.00290998     1246.15
0.00324724     1251.26
0.0035984     1256.14
0.00396209     1260.82
0.00433711     1265.31
0.00424046     1220.7
0.00414382     1176.1
0.00404717     1131.49
0.00395052     1086.89
0.00385388     1042.28
0.00375723     997.675
0.00366058     953.069
0.00356394     908.463
0.00346729     863.857
0.00337065     819.251
0.003274     774.646
0.00317735     730.04
0.00308071     685.434
0.00298406     640.828
0.00288741     596.222
0.00279077     551.616
0.00269412     507.01
0.00259748     462.404
0.00250083     417.798
0.00240418     373.192
0.00230754     328.586
0.00221089     283.98
0.00211424     239.374
0.0020176     194.768
0.00192095     150.162
0.00182431     105.556
0.00172766     60.9504
0.00163101     16.3444
0.00153437     -28.2615
0.00143772     -72.8675
0.00134107     -117.473
0.00124443     -162.079
0.00114778     -206.685
0.00105114     -251.291
0.00095449     -295.897
0.000857844     -340.503
0.000761197     -385.109
