U_Link_disp     U_Link_shear
0     0
-3.34358e-05     -15.4319
-6.68716e-05     -30.8638
-0.000100307     -46.2957
-0.000133743     -61.7276
-0.000167179     -77.1595
-0.000200615     -92.5914
-0.000234051     -108.023
-0.000267486     -123.455
-0.000300922     -138.887
-0.000334358     -154.319
-0.000367794     -169.751
-0.00040123     -185.183
-0.000434665     -200.615
-0.000468101     -216.047
-0.000501537     -231.479
-0.000534973     -246.91
-0.000568409     -262.342
-0.000601844     -277.774
-0.00063528     -293.206
-0.000668716     -308.638
-0.000702152     -324.07
-0.000735587     -339.502
-0.000769023     -354.934
-0.000802459     -370.366
-0.000835895     -385.798
-0.000869331     -401.23
-0.000902766     -416.661
-0.000936202     -432.093
-0.000969638     -447.525
-0.00100307     -462.957
-0.00103651     -478.389
-0.00106995     -493.821
-0.00110338     -509.253
-0.00113682     -524.685
-0.00117025     -540.117
-0.00120369     -555.549
-0.00123712     -570.981
-0.00127056     -586.412
-0.001304     -601.844
-0.00133743     -617.276
-0.00137087     -632.708
-0.0014043     -648.14
-0.00143774     -663.572
-0.00147117     -679.004
-0.00150461     -694.436
-0.00153805     -709.868
-0.00157148     -725.3
-0.00160492     -740.731
-0.00163835     -756.163
-0.00167179     -771.595
-0.00170523     -787.027
-0.00173866     -802.459
-0.0017721     -817.891
-0.00180553     -833.323
-0.00183897     -848.755
-0.0018724     -864.187
-0.00190584     -879.619
-0.00193928     -895.051
-0.00197271     -910.482
-0.00200615     -925.914
-0.00203958     -941.346
-0.00207302     -956.778
-0.00210646     -972.21
-0.00213989     -987.642
-0.00217333     -1003.07
-0.00220676     -1018.51
-0.0022402     -1033.94
-0.00227363     -1049.37
-0.00230707     -1064.8
-0.00234051     -1080.23
-0.00237394     -1095.67
-0.00240738     -1111.1
-0.00244081     -1126.53
-0.00247425     -1141.96
-0.00250768     -1157.39
-0.00254112     -1172.82
-0.00257456     -1188.26
-0.00260799     -1203.69
-0.00264143     -1219.12
-0.00267486     -1234.55
-0.0027083     -1249.98
-0.00274174     -1265.42
-0.00277527     -1280.85
-0.00280936     -1296.26
-0.00284576     -1311.6
-0.00288953     -1326.73
-0.00295232     -1341.27
-0.00305341     -1354.6
-0.00321192     -1366.07
-0.0034338     -1375.44
-0.00371035     -1382.91
-0.00402748     -1388.89
-0.00437261     -1393.76
-0.0047365     -1397.8
-0.00511284     -1401.23
-0.0054974     -1404.19
-0.00588738     -1406.78
-0.0062809     -1409.07
-0.00667671     -1411.13
-0.00707396     -1413
-0.00700709     -1382.13
-0.00694022     -1351.27
-0.00687334     -1320.41
-0.00680647     -1289.54
-0.0067396     -1258.68
-0.00667273     -1227.81
-0.00660586     -1196.95
-0.00653899     -1166.09
-0.00647211     -1135.22
-0.00640524     -1104.36
-0.00633837     -1073.49
-0.0062715     -1042.63
-0.00620463     -1011.77
-0.00613776     -980.903
-0.00607089     -950.04
-0.00600401     -919.176
-0.00593714     -888.312
-0.00587027     -857.448
-0.0058034     -826.584
-0.00573653     -795.721
-0.00566966     -764.857
-0.00560278     -733.993
-0.00553591     -703.129
-0.00546904     -672.265
-0.00540217     -641.402
-0.0053353     -610.538
-0.00526843     -579.674
-0.00520155     -548.81
-0.00513468     -517.946
-0.00506781     -487.082
-0.00500094     -456.219
-0.00493407     -425.355
-0.0048672     -394.491
-0.00480033     -363.627
-0.00473345     -332.763
-0.00466658     -301.9
-0.00459971     -271.036
-0.00453284     -240.172
-0.00446597     -209.308
-0.0043991     -178.444
-0.00433222     -147.581
-0.00426535     -116.717
-0.00419848     -85.853
-0.00413161     -54.9891
-0.00406474     -24.1253
-0.00399787     6.73848
-0.00393099     37.6023
-0.00386412     68.4661
-0.00379725     99.3299
-0.00373038     130.194
-0.00366351     161.058
-0.00359664     191.921
-0.00352976     222.785
-0.00346289     253.649
-0.00339602     284.513
-0.00332915     315.377
-0.00326228     346.24
-0.00319541     377.104
-0.00312854     407.968
-0.00306166     438.832
-0.00299479     469.696
-0.00292792     500.559
-0.00286105     531.423
-0.00279418     562.287
-0.00272731     593.151
-0.00266043     624.015
-0.00259356     654.878
-0.00252669     685.742
-0.00245982     716.606
-0.00239295     747.47
-0.00232608     778.334
-0.0022592     809.198
-0.00219233     840.061
-0.00212546     870.925
-0.00205859     901.789
-0.00199172     932.653
-0.00192485     963.517
-0.00185798     994.38
-0.0017911     1025.24
-0.00172423     1056.11
-0.00165736     1086.97
-0.00159042     1117.83
-0.00152248     1148.67
-0.00144754     1179.3
-0.00134173     1209.03
-0.00114567     1236.04
-0.0007895     1258.06
-0.000263993     1274.56
0.000384815     1286.72
0.00110837     1295.94
0.00187409     1303.19
0.00266271     1309.08
0.00346321     1314.01
0.00426933     1318.23
0.0050776     1321.9
