L_Link_disp     L_Link_shear
0.0068116     -1208.6
0.00674382     -1252.92
0.00667603     -1297.25
0.00660824     -1341.57
0.00654046     -1385.89
0.00647267     -1430.21
0.00640489     -1474.53
0.0063371     -1518.85
0.00626931     -1563.18
0.00620153     -1607.5
0.00613374     -1651.82
0.00583695     -1687.23
0.00528125     -1712.57
0.00460089     -1733.06
0.00384372     -1750.56
0.00303318     -1765.99
0.00218279     -1779.86
0.00130118     -1792.52
0.00039427     -1804.19
-0.000527227     -1814.98
-0.00142201     -1824.62
-0.0022906     -1833.32
-0.00313857     -1841.3
-0.00396984     -1848.69
-0.00478723     -1855.59
-0.00559285     -1862.08
-0.00638834     -1868.21
-0.00717499     -1874.03
-0.00795384     -1879.57
-0.00872573     -1884.86
-0.00949139     -1889.94
-0.0102514     -1894.81
-0.0101836     -1850.49
-0.0101158     -1806.17
-0.010048     -1761.85
-0.00998025     -1717.53
-0.00991246     -1673.2
-0.00984468     -1628.88
-0.00977689     -1584.56
-0.0097091     -1540.24
-0.00964132     -1495.92
-0.00957353     -1451.6
-0.00950575     -1407.27
-0.00943796     -1362.95
-0.00937017     -1318.63
-0.00930239     -1274.31
-0.0092346     -1229.99
-0.00916681     -1185.66
-0.00909903     -1141.34
-0.00903124     -1097.02
-0.00896345     -1052.7
-0.00889567     -1008.38
-0.00882788     -964.055
-0.0087601     -919.733
-0.00869231     -875.411
-0.00862452     -831.089
-0.00855674     -786.768
-0.00848895     -742.446
-0.00842116     -698.124
-0.00835338     -653.802
-0.00828559     -609.48
-0.0082178     -565.158
-0.00815002     -520.836
-0.00808223     -476.515
-0.00801445     -432.193
-0.00794666     -387.871
-0.00787887     -343.549
-0.00781109     -299.227
-0.0077433     -254.905
-0.00767551     -210.583
-0.00760773     -166.262
-0.00753994     -121.94
-0.00747215     -77.6179
-0.00740437     -33.296
-0.00733658     11.0258
-0.0072688     55.3477
-0.00720101     99.6695
-0.00713322     143.991
-0.00706544     188.313
-0.00699765     232.635
-0.00692986     276.957
-0.00686208     321.279
-0.00679429     365.601
-0.0067265     409.923
-0.00665872     454.244
-0.00659093     498.566
-0.00652314     542.888
-0.00645536     587.21
-0.00638757     631.532
-0.00631979     675.854
-0.006252     720.176
-0.00618421     764.497
-0.00611643     808.819
-0.00604864     853.141
-0.00598085     897.463
-0.00591307     941.785
-0.00584528     986.107
-0.00577749     1030.43
-0.00570971     1074.75
-0.00564192     1119.07
-0.00557414     1163.39
-0.00550635     1207.72
-0.00543856     1252.04
-0.00537078     1296.36
-0.00530299     1340.68
-0.0052352     1385
-0.00516742     1429.33
-0.00509963     1473.65
-0.00503185     1517.97
-0.00496406     1562.29
-0.00489627     1606.61
-0.00461024     1642.44
-0.00407088     1668.42
-0.00340662     1689.53
-0.00266467     1707.63
-0.00186843     1723.61
-0.00103153     1738.01
-0.000162688     1751.16
0.000732075     1763.31
0.00163299     1774.43
0.00250508     1784.36
0.00335385     1793.35
0.00418416     1801.62
0.00499944     1809.29
0.00580218     1816.47
0.00659424     1823.22
0.0073771     1829.61
0.00815189     1835.69
0.00891955     1841.48
0.00968086     1847.02
0.0104364     1852.33
0.0111869     1857.44
0.0110852     1790.96
0.0109835     1724.48
0.0108818     1657.99
0.0107801     1591.51
0.0106785     1525.03
0.0105768     1458.55
0.0104751     1392.06
0.0103734     1325.58
0.0102717     1259.1
0.0101701     1192.61
0.0100684     1126.13
0.0099667     1059.65
0.00986502     993.166
0.00976334     926.683
0.00966166     860.2
0.00955998     793.717
0.0094583     727.235
0.00935662     660.752
0.00925494     594.269
0.00915326     527.786
0.00905158     461.303
0.0089499     394.821
0.00884822     328.338
0.00874654     261.855
0.00864486     195.372
0.00854318     128.89
0.00844151     62.4068
0.00833983     -4.076
0.00823815     -70.5588
0.00813647     -137.042
0.00803479     -203.524
0.00793311     -270.007
0.00783143     -336.49
0.00772975     -402.973
0.00762807     -469.456
0.00752639     -535.938
0.00742471     -602.421
0.00732303     -668.904
0.00722135     -735.387
0.00711967     -801.869
0.00701799     -868.352
0.00691631     -934.835
0.00681463     -1001.32
0.00671295     -1067.8
0.00661127     -1134.28
0.00650959     -1200.77
0.00640791     -1267.25
0.00630623     -1333.73
0.00620455     -1400.21
0.00610287     -1466.7
0.0060012     -1533.18
0.00589952     -1599.66
0.00573813     -1663.82
0.00499055     -1705.18
0.00394448     -1734.92
0.0027517     -1758.95
0.00146759     -1779.43
0.000119611     -1797.42
-0.00124687     -1813.24
-0.0025531     -1826.7
-0.00381373     -1838.5
-0.00504063     -1849.1
-0.00624141     -1858.75
-0.00742118     -1867.65
-0.00858362     -1875.93
-0.00973144     -1883.68
-0.0108667     -1890.98
-0.0119911     -1897.89
-0.0131059     -1904.45
-0.0142121     -1910.7
-0.0153108     -1916.67
-0.0164025     -1922.4
-0.017488     -1927.89
-0.0185677     -1933.18
-0.0196423     -1938.28
-0.020712     -1943.21
-0.0217772     -1947.97
-0.0228384     -1952.58
-0.0238956     -1957.05
-0.0249492     -1961.38
-0.0259995     -1965.59
-0.0270466     -1969.69
-0.0280907     -1973.67
-0.029132     -1977.55
-0.0301707     -1981.33
-0.0312068     -1985.02
-0.0322405     -1988.62
-0.033272     -1992.14
-0.0343013     -1995.57
-0.0353286     -1998.93
-0.0363539     -2002.22
-0.0373773     -2005.43
-0.0383989     -2008.58
-0.0394188     -2011.66
-0.0404371     -2014.68
-0.0414538     -2017.64
-0.042469     -2020.55
-0.0434827     -2023.39
-0.0444951     -2026.19
-0.0455061     -2028.93
-0.0453705     -1940.29
-0.0452349     -1851.65
-0.0450994     -1763
-0.0449638     -1674.36
-0.0448282     -1585.72
-0.0446926     -1497.07
-0.0445571     -1408.43
-0.0444215     -1319.78
-0.0442859     -1231.14
-0.0441503     -1142.5
-0.0440148     -1053.85
-0.0438792     -965.21
-0.0437436     -876.566
-0.0436081     -787.922
-0.0434725     -699.279
-0.0433369     -610.635
-0.0432013     -521.991
-0.0430658     -433.347
-0.0429302     -344.704
-0.0427946     -256.06
-0.042659     -167.416
-0.0425235     -78.7726
-0.0423879     9.87113
-0.0422523     98.5148
-0.0421168     187.159
-0.0419812     275.802
-0.0418456     364.446
-0.04171     453.09
-0.0415745     541.733
-0.0414389     630.377
-0.0413033     719.021
-0.0411678     807.665
-0.0410322     896.308
-0.0408966     984.952
-0.040761     1073.6
-0.0406255     1162.24
-0.0404899     1250.88
-0.0403543     1339.53
-0.0402187     1428.17
-0.0398984     1509.63
-0.038784     1560.19
-0.037327     1597.42
-0.0356933     1627.77
-0.0339931     1653.14
-0.0323614     1673.84
-0.0307793     1691.54
-0.0292323     1707.16
-0.0277115     1721.24
-0.0262115     1734.1
-0.0247283     1745.97
-0.0232592     1757.03
-0.021802     1767.39
