Sd	    Sa	        Period
cm	    g	        sec
0	    0	        0
0.7778	0.190746	0.405
1.5391	0.316615	0.442
1.8321	0.340428	0.465
2.6377	0.371294	0.535
2.9949	0.376192	0.566
6.1525	0.401303	0.786
6.7417	0.406507	0.817
6.7973	0.405711	0.821
6.8915	0.403381	0.829
7.021	0.393895	0.847
7.3269	0.353828	0.913
