longitudinal	transverse	vertical
0.130 	-0.070 	0.090 
-0.160 	0.020 	0.150 
0.300 	0.090 	-0.220 
0.100 	-0.020 	0.280 
-0.100 	0.070 	-0.220 
0.150 	-0.050 	0.020 
-0.030 	0.050 	0.520 
-0.070 	0.040 	-0.440 
-0.010 	-0.140 	0.010 
-0.220 	0.150 	0.360 
-0.180 	-0.010 	-0.330 
-0.090 	-0.210 	0.140 
-0.070 	0.110 	0.240 
-0.020 	0.040 	-0.270 
0.040 	-0.080 	0.090 
0.220 	0.020 	0.180 
0.100 	0.030 	-0.180 
0.100 	0.030 	0.000 
0.040 	0.020 	-0.020 
-0.060 	0.110 	0.050 
0.110 	0.110 	0.120 
-0.230 	-0.070 	-0.310 
-0.140 	-0.060 	0.110 
-0.010 	0.150 	0.200 
-0.420 	0.070 	-0.430 
-0.160 	-0.170 	0.160 
0.050 	0.070 	0.200 
-0.070 	0.160 	-0.360 
-0.050 	-0.120 	0.260 
0.130 	0.030 	0.090 
0.080 	0.160 	-0.340 
-0.070 	-0.100 	0.340 
0.150 	-0.170 	0.010 
0.030 	0.050 	-0.310 
-0.160 	0.000 	0.180 
-0.070 	-0.140 	-0.080 
-0.100 	0.100 	0.030 
-0.260 	-0.030 	0.040 
-0.320 	-0.210 	-0.230 
-0.050 	0.070 	0.280 
0.020 	-0.040 	-0.040 
-0.130 	-0.100 	-0.410 
0.120 	0.050 	0.370 
0.200 	0.060 	-0.070 
-0.070 	-0.050 	-0.480 
0.110 	-0.040 	0.470 
0.120 	0.090 	-0.070 
-0.120 	-0.100 	-0.400 
0.030 	-0.080 	0.440 
0.000 	0.150 	-0.190 
-0.230 	0.060 	-0.270 
-0.360 	-0.110 	0.260 
-0.140 	0.020 	-0.150 
0.010 	0.170 	0.000 
-0.190 	-0.110 	-0.060 
0.090 	-0.090 	-0.270 
0.170 	0.190 	0.320 
-0.180 	-0.010 	-0.050 
0.050 	-0.200 	-0.340 
0.210 	0.010 	0.370 
-0.050 	0.070 	-0.040 
-0.080 	-0.160 	-0.210 
0.000 	-0.080 	0.340 
-0.020 	0.120 	-0.250 
-0.240 	-0.030 	-0.140 
-0.210 	-0.070 	0.440 
-0.010 	0.070 	-0.250 
-0.240 	-0.010 	-0.140 
-0.090 	-0.010 	0.290 
0.090 	0.050 	-0.070 
0.000 	0.010 	0.040 
0.100 	-0.080 	-0.080 
0.030 	-0.060 	0.000 
0.190 	0.060 	0.310 
0.050 	-0.030 	-0.240 
-0.120 	-0.020 	-0.070 
0.100 	0.070 	0.360 
-0.230 	-0.020 	-0.270 
-0.220 	-0.130 	-0.030 
-0.080 	0.120 	0.410 
-0.370 	0.070 	-0.250 
-0.170 	-0.220 	-0.030 
0.060 	0.130 	0.300 
0.130 	0.150 	-0.260 
-0.070 	-0.160 	0.080 
-0.070 	-0.080 	0.210 
0.260 	0.080 	-0.210 
-0.010 	-0.020 	0.150 
-0.110 	-0.170 	-0.100 
0.010 	0.040 	-0.100 
-0.110 	0.090 	0.360 
-0.110 	-0.050 	-0.320 
-0.180 	-0.030 	0.040 
-0.140 	-0.020 	0.300 
-0.190 	0.030 	-0.440 
-0.180 	0.010 	0.260 
0.180 	0.050 	0.120 
-0.010 	0.040 	-0.470 
-0.040 	-0.100 	0.370 
0.320 	0.060 	0.090 
-0.040 	0.080 	-0.430 
-0.040 	-0.090 	0.220 
0.150 	-0.040 	0.120 
-0.050 	0.010 	-0.180 
-0.020 	0.000 	0.060 
-0.080 	-0.030 	-0.140 
-0.130 	0.110 	0.010 
-0.230 	0.010 	0.160 
-0.160 	-0.140 	-0.360 
0.120 	0.110 	0.170 
-0.110 	0.000 	0.220 
-0.080 	-0.130 	-0.460 
0.160 	0.020 	0.310 
0.040 	0.040 	0.100 
0.050 	-0.010 	-0.420 
0.040 	-0.070 	0.390 
0.030 	0.040 	-0.010 
-0.020 	0.000 	-0.310 
-0.150 	-0.190 	0.230 
-0.060 	0.100 	-0.090 
-0.230 	0.090 	-0.070 
-0.280 	-0.230 	0.140 
-0.120 	-0.050 	-0.110 
-0.180 	0.040 	0.000 
-0.060 	-0.070 	0.010 
-0.040 	-0.100 	-0.170 
0.040 	0.010 	0.100 
0.110 	0.130 	-0.040 
-0.020 	-0.070 	-0.210 
0.150 	-0.090 	0.310 
-0.050 	0.100 	-0.210 
-0.190 	-0.080 	-0.320 
0.050 	-0.090 	0.480 
-0.170 	0.070 	-0.230 
-0.240 	-0.050 	-0.320 
-0.230 	-0.050 	0.360 
-0.150 	0.040 	-0.230 
-0.100 	-0.050 	-0.200 
-0.180 	-0.100 	0.160 
0.150 	0.010 	-0.110 
0.040 	-0.020 	0.170 
-0.040 	-0.100 	0.020 
0.260 	-0.050 	-0.230 
0.060 	0.020 	0.300 
-0.100 	-0.010 	-0.040 
-0.050 	-0.030 	-0.240 
-0.090 	0.140 	0.270 
-0.110 	-0.060 	-0.220 
-0.270 	-0.210 	-0.100 
-0.240 	0.050 	0.450 
-0.040 	0.030 	-0.370 
-0.170 	-0.060 	-0.130 
0.050 	-0.090 	0.440 
0.110 	0.070 	-0.350 
-0.110 	0.040 	0.080 
0.180 	-0.150 	0.200 
0.030 	0.080 	-0.340 
-0.100 	0.000 	0.240 
0.070 	-0.150 	-0.120 
-0.110 	0.060 	-0.160 
-0.130 	0.010 	0.260 
-0.180 	-0.090 	-0.230 
-0.240 	0.030 	0.130 
-0.120 	0.000 	0.130 
-0.140 	-0.040 	-0.430 
-0.040 	0.030 	0.200 
0.040 	-0.030 	0.300 
-0.040 	-0.050 	-0.470 
0.040 	-0.030 	0.020 
0.110 	-0.050 	0.340 
0.100 	0.040 	-0.330 
0.000 	0.100 	0.030 
-0.040 	-0.020 	0.140 
-0.010 	0.000 	-0.130 
-0.130 	-0.010 	0.190 
-0.200 	-0.090 	-0.140 
-0.240 	0.040 	-0.060 
-0.150 	0.070 	0.190 
-0.200 	-0.110 	-0.240 
-0.050 	-0.010 	0.140 
0.210 	0.180 	0.090 
-0.040 	-0.090 	-0.370 
0.020 	-0.100 	0.250 
0.160 	0.130 	0.010 
0.030 	0.060 	-0.400 
0.060 	-0.140 	0.310 
-0.020 	0.070 	0.070 
-0.080 	0.110 	-0.370 
-0.130 	-0.340 	0.130 
-0.110 	0.040 	-0.020 
-0.200 	0.190 	-0.220 
-0.350 	-0.160 	0.110 
0.030 	-0.020 	-0.190 
0.110 	-0.050 	-0.090 
-0.150 	-0.050 	0.100 
0.140 	-0.030 	-0.310 
0.220 	-0.030 	0.190 
-0.050 	0.020 	0.010 
0.070 	-0.110 	-0.370 
0.120 	-0.030 	0.490 
-0.020 	-0.030 	-0.100 
-0.140 	-0.090 	-0.470 
-0.130 	0.030 	0.460 
-0.120 	0.000 	-0.060 
-0.330 	-0.110 	-0.280 
-0.100 	-0.040 	0.240 
0.080 	0.030 	-0.160 
-0.150 	0.020 	-0.010 
0.050 	0.030 	0.220 
0.140 	0.030 	-0.330 
0.070 	0.050 	-0.030 
0.130 	-0.070 	0.170 
0.020 	-0.020 	-0.210 
0.070 	0.130 	0.130 
0.040 	-0.080 	-0.150 
-0.120 	-0.080 	-0.120 
-0.030 	0.140 	0.470 
-0.110 	0.040 	-0.410 
-0.270 	-0.150 	-0.100 
-0.010 	-0.020 	0.570 
0.030 	0.090 	-0.400 
-0.130 	-0.150 	-0.070 
0.140 	-0.110 	0.300 
0.190 	0.100 	-0.280 
0.000 	-0.070 	0.050 
0.160 	-0.110 	0.140 
0.220 	0.090 	-0.120 
-0.020 	0.030 	0.090 
-0.100 	-0.150 	0.040 
0.090 	0.000 	-0.070 
-0.100 	0.010 	0.080 
-0.330 	-0.100 	-0.100 
-0.090 	0.070 	0.080 
-0.050 	0.010 	0.320 
-0.180 	-0.100 	-0.280 
0.100 	0.000 	0.020 
0.150 	0.140 	0.380 
-0.150 	0.040 	-0.290 
0.060 	-0.090 	0.140 
0.230 	0.070 	0.230 
-0.040 	-0.030 	-0.370 
-0.070 	-0.140 	0.250 
0.020 	0.050 	0.100 
-0.040 	0.120 	-0.310 
-0.220 	-0.040 	0.250 
-0.300 	-0.040 	-0.050 
-0.040 	0.100 	-0.080 
-0.150 	-0.040 	0.120 
-0.210 	-0.090 	-0.240 
0.160 	0.050 	0.260 
0.010 	0.030 	0.090 
0.020 	-0.100 	-0.470 
0.230 	-0.080 	0.330 
0.070 	0.080 	0.210 
-0.010 	-0.030 	-0.410 
-0.030 	-0.090 	0.280 
0.070 	0.040 	0.140 
-0.130 	-0.030 	-0.350 
-0.310 	-0.090 	0.320 
-0.030 	-0.080 	0.010 
-0.130 	-0.030 	-0.260 
-0.140 	0.070 	0.380 
0.060 	0.030 	-0.100 
0.000 	0.020 	-0.100 
0.090 	0.000 	0.180 
0.100 	-0.050 	-0.240 
0.120 	0.080 	0.270 
0.100 	0.110 	0.130 
-0.100 	-0.040 	-0.370 
0.150 	0.030 	0.230 
0.040 	0.050 	0.040 
-0.190 	-0.050 	-0.260 
0.000 	0.050 	0.270 
-0.190 	0.070 	-0.040 
-0.200 	0.020 	-0.140 
-0.030 	-0.160 	0.390 
0.030 	0.010 	-0.190 
0.080 	0.140 	-0.250 
0.040 	-0.150 	0.340 
0.210 	0.070 	-0.170 
0.110 	0.130 	-0.080 
-0.010 	-0.090 	0.160 
0.180 	-0.030 	-0.150 
0.000 	0.120 	0.320 
-0.130 	0.050 	0.020 
-0.030 	-0.150 	-0.160 
-0.100 	0.030 	0.490 
-0.260 	0.040 	-0.100 
-0.210 	-0.160 	-0.140 
0.090 	0.030 	0.320 
0.010 	0.050 	-0.240 
-0.030 	-0.030 	-0.040 
0.310 	0.070 	0.250 
0.050 	0.070 	-0.270 
0.010 	0.010 	-0.030 
0.280 	0.000 	0.300 
0.030 	0.080 	-0.220 
-0.010 	0.010 	-0.110 
-0.070 	-0.060 	0.080 
-0.120 	0.120 	-0.120 
-0.140 	-0.030 	0.250 
-0.340 	-0.050 	-0.150 
-0.020 	0.120 	-0.140 
-0.010 	0.000 	0.510 
-0.190 	-0.080 	-0.310 
0.170 	0.000 	-0.060 
0.200 	0.180 	0.460 
0.030 	0.070 	-0.460 
0.100 	-0.060 	0.110 
0.170 	0.090 	0.340 
0.010 	0.010 	-0.430 
-0.110 	-0.100 	0.230 
-0.020 	0.050 	0.270 
-0.120 	0.080 	-0.240 
-0.200 	-0.040 	0.140 
-0.270 	-0.100 	0.100 
-0.150 	0.020 	0.090 
-0.010 	0.190 	0.240 
-0.090 	-0.080 	-0.260 
0.130 	-0.080 	0.060 
0.150 	0.190 	0.400 
-0.030 	-0.060 	-0.300 
0.200 	-0.060 	0.160 
0.100 	0.130 	0.270 
-0.160 	0.040 	-0.440 
0.060 	-0.050 	0.270 
0.030 	0.000 	0.100 
-0.110 	0.100 	-0.450 
-0.190 	-0.050 	0.360 
-0.120 	-0.010 	0.130 
0.010 	0.120 	-0.230 
-0.190 	-0.130 	0.190 
0.060 	0.010 	-0.060 
0.250 	0.190 	-0.010 
-0.110 	0.010 	0.180 
0.050 	-0.090 	-0.120 
0.250 	0.070 	0.180 
-0.050 	0.130 	0.090 
-0.060 	-0.130 	-0.270 
0.100 	0.070 	0.310 
0.000 	0.160 	0.120 
-0.180 	-0.160 	-0.300 
-0.250 	0.060 	0.430 
-0.140 	0.150 	0.040 
-0.190 	0.010 	-0.420 
-0.110 	-0.010 	0.430 
0.100 	0.020 	0.000 
0.010 	0.070 	-0.280 
0.090 	-0.070 	0.230 
0.070 	0.000 	-0.130 
0.020 	0.040 	0.040 
0.110 	-0.160 	0.000 
-0.070 	-0.080 	-0.280 
-0.020 	0.060 	0.240 
-0.160 	-0.030 	0.040 
-0.290 	-0.100 	-0.210 
-0.050 	0.000 	0.180 
-0.270 	0.010 	-0.130 
-0.140 	-0.110 	-0.120 
0.080 	-0.020 	0.360 
0.030 	0.000 	-0.320 
0.150 	-0.120 	-0.240 
0.070 	-0.100 	0.560 
0.180 	-0.030 	-0.240 
0.040 	0.020 	-0.240 
-0.100 	-0.050 	0.330 
0.090 	0.000 	-0.180 
-0.140 	0.040 	0.080 
-0.190 	-0.140 	0.130 
-0.180 	0.010 	-0.190 
-0.200 	0.050 	0.170 
-0.230 	-0.160 	-0.160 
-0.190 	0.070 	-0.070 
0.120 	0.220 	0.280 
-0.070 	-0.040 	-0.340 
-0.050 	-0.070 	0.020 
0.250 	0.100 	0.360 
0.020 	0.080 	-0.360 
-0.040 	-0.160 	-0.030 
0.110 	0.010 	0.400 
-0.010 	0.120 	-0.180 
-0.140 	-0.190 	-0.080 
-0.080 	0.050 	0.190 
-0.130 	0.180 	-0.120 
-0.310 	-0.100 	0.090 
-0.070 	-0.040 	0.070 
0.130 	0.100 	-0.130 
-0.150 	0.020 	0.250 
-0.100 	-0.060 	-0.070 
0.250 	0.040 	-0.070 
0.040 	0.090 	0.290 
-0.030 	-0.060 	-0.260 
0.200 	0.020 	0.130 
0.010 	0.010 	0.310 
-0.110 	-0.120 	-0.460 
-0.100 	0.070 	0.200 
-0.080 	-0.020 	0.310 
-0.290 	-0.130 	-0.420 
-0.290 	-0.020 	0.190 
0.050 	0.060 	0.260 
-0.210 	0.210 	-0.300 
-0.160 	0.030 	0.060 
0.100 	-0.080 	-0.010 
0.010 	0.150 	-0.130 
0.040 	0.000 	0.190 
-0.050 	-0.180 	-0.180 
0.070 	0.140 	-0.030 
0.080 	0.150 	0.130 
-0.200 	-0.100 	-0.270 
-0.010 	0.070 	0.270 
