longitudinal	transverse	vertical
0.008 	0.054 	0.018 
-0.014 	-0.004 	-0.002 
0.093 	0.058 	0.064 
0.041 	0.051 	0.057 
-0.017 	-0.004 	-0.006 
0.040 	0.030 	0.068 
0.078 	0.074 	0.072 
-0.016 	0.012 	0.010 
0.023 	0.015 	0.032 
0.097 	0.081 	0.091 
0.004 	0.035 	0.022 
-0.006 	-0.005 	0.013 
0.077 	0.050 	0.066 
0.041 	0.075 	0.049 
-0.007 	0.015 	-0.015 
0.060 	0.032 	0.055 
0.109 	0.081 	0.066 
-0.001 	0.014 	-0.001 
0.032 	0.009 	0.012 
0.102 	0.079 	0.081 
0.010 	0.059 	0.027 
-0.006 	0.005 	0.019 
0.087 	0.074 	0.120 
0.055 	0.069 	0.074 
0.001 	0.010 	0.014 
0.061 	0.028 	0.070 
0.104 	0.076 	0.068 
-0.009 	0.021 	0.011 
0.017 	0.014 	0.025 
0.065 	0.079 	0.120 
0.013 	0.042 	0.038 
-0.011 	-0.003 	0.005 
0.098 	0.067 	0.054 
0.055 	0.072 	0.034 
-0.009 	0.009 	-0.033 
0.045 	0.048 	0.037 
0.104 	0.102 	0.078 
0.002 	0.035 	0.021 
0.016 	0.021 	0.052 
0.107 	0.076 	0.142 
0.016 	0.059 	0.041 
-0.010 	0.002 	-0.008 
0.083 	0.071 	0.051 
0.041 	0.066 	0.044 
-0.021 	0.000 	-0.016 
0.048 	0.032 	0.043 
0.112 	0.089 	0.071 
0.005 	0.029 	0.011 
0.025 	0.028 	0.015 
0.102 	0.081 	0.083 
0.024 	0.047 	0.017 
-0.007 	-0.003 	-0.001 
0.092 	0.059 	0.066 
0.042 	0.067 	0.061 
-0.020 	0.026 	0.002 
0.033 	0.059 	0.055 
0.108 	0.104 	0.062 
-0.006 	0.034 	0.006 
0.016 	0.011 	0.014 
0.096 	0.081 	0.079 
0.021 	0.043 	0.029 
-0.024 	-0.003 	0.015 
0.073 	0.063 	0.069 
0.046 	0.073 	0.055 
-0.010 	0.003 	0.000 
0.047 	0.028 	0.038 
0.098 	0.070 	0.043 
-0.021 	0.022 	-0.025 
0.004 	0.016 	-0.002 
0.088 	0.086 	0.063 
0.022 	0.049 	0.019 
-0.010 	-0.003 	0.017 
0.070 	0.047 	0.086 
0.051 	0.063 	0.067 
-0.034 	-0.003 	-0.009 
0.016 	0.030 	0.048 
0.070 	0.093 	0.063 
-0.022 	0.027 	-0.010 
0.004 	0.004 	0.006 
