qtotal (%)	Lateral Force (kN)
-0.339208333	-113.58
-0.369875	-123.28
-0.40125	-133.74
-0.432666667	-143.81
-0.463291667	-153.83
-0.494833333	-163.85
-0.525958333	-173.83
-0.557208333	-184.03
-0.588166667	-194.11
-0.619625	-204.48
-0.650625	-214.57
-0.681625	-225.09
-0.71275	-235.16
-0.743916667	-245.19
-0.775333333	-255.67
-0.806583333	-265.29
-0.836875	-274.74
-0.868375	-284.35
-0.8995	-293.54
-0.930708333	-302.85
-0.961833333	-312.01
-0.992458333	-320.68
-0.967625	-302.33
-0.935958333	-291.56
-0.905375	-281.22
-0.873875	-271.27
-0.84275	-261.39
-0.812125	-250.92
-0.780833333	-240.76
-0.749166667	-230.46
-0.718541667	-220.03
-0.687333333	-209.95
-0.656083333	-199.8
-0.624791667	-189.42
-0.593791667	-179.67
-0.562375	-168.94
-0.53125	-158.74
-0.500916667	-148.79
-0.469208333	-138.67
-0.437916667	-128.22
-0.406541667	-118.27
-0.375333333	-107.89
-0.344541667	-98.17
-0.313041667	-88.04
-0.281916667	-78.04
-0.251125	-68.28
-0.219375	-58.22
-0.188541667	-48.6
-0.156958333	-38.34
-0.126125	-28.83
-0.0955	-19.1
-0.063875	-9.37
-0.032333333	0.45
-0.002208333	10.15
0.029291667	20.08
0.24975	89.35
0.277583333	98.77
0.309625	108.79
0.341291667	118.41
0.372333333	128.39
0.403125	137.92
0.434375	148.25
0.46575	158.25
0.497	168.11
0.528291667	178.4
0.559791667	188.28
0.59	198.03
0.621583333	207.73
0.653125	217.78
0.683916667	227.63
0.715916667	237.73
0.7465	247.36
0.777625	257.39
0.808166667	267.08
0.839833333	277.09
0.871041667	286.8
0.902291667	296.49
0.933166667	306.25
0.964625	316.06
0.995708333	325.37
0.969458333	309.71
0.939083333	299.51
0.907125	289.28
0.876	279.34
0.844916667	269.46
0.813791667	259.38
0.783041667	249.64
0.751583333	239.69
0.720708333	229.67
0.689541667	219.85
0.658166667	209.85
0.626833333	199.97
0.595791667	190.13
0.564708333	180.21
0.533458333	170.43
0.501875	160.35
0.47125	150.69
0.440041667	141.17
0.409208333	130.89
0.377458333	121.31
0.346833333	111.39
0.315083333	101.66
0.284083333	91.95
0.253166667	82.05
0.221833333	72.31
0.190208333	61.94
0.15925	52.39
0.128291667	42.34
0.096916667	32.62
0.065875	22.01
0.0345	12.14
0.003458333	2.74
-0.026958333	-6.97
-0.058583333	-16.7
-0.089708333	-26.54
-0.120458333	-36.39
-0.151791667	-46.24
-0.182833333	-56.12
-0.213916667	-66.05
-0.245833333	-76.22
-0.276458333	-86.25
-0.307625	-96.3
-0.338791667	-106.28
-0.370291667	-116.43
-0.401666667	-126.92
-0.432875	-136.79
-0.463666667	-146.63
-0.494666667	-156.92
-0.526166667	-166.91
-0.556958333	-176.8
-0.58775	-186.99
-0.619291667	-197.24
-0.650791667	-207.03
-0.681416667	-217.21
-0.712791667	-227.51
-0.743958333	-237.6
-0.774875	-247.89
-0.806333333	-258.12
-0.837375	-268.1
-0.8685	-277.87
-0.8995	-287.84
-0.930708333	-297.89
-0.961708333	-308
-0.992583333	-317.66
-0.968208333	-303.27
-0.936666667	-292.59
-0.904875	-282.15
-0.873791667	-272.14
-0.842875	-261.87
-0.811916667	-251.64
-0.780541667	-241.29
-0.749166667	-231.18
-0.717958333	-221.05
-0.687625	-210.8
-0.656458333	-200.14
-0.625333333	-190.2
-0.593833333	-180.1
-0.5625	-169.79
-0.531333333	-159.42
-0.500458333	-149.4
-0.469208333	-139.11
-0.437958333	-129.28
-0.407291667	-118.59
-0.375833333	-108.59
-0.343791667	-98.65
-0.313291667	-88.5
-0.282	-78.66
-0.250666667	-68.77
-0.219833333	-58.69
-0.188583333	-49.14
-0.157125	-39.18
-0.125625	-29.36
-0.095333333	-19.65
-0.063583333	-9.94
-0.0325	-0.22
-0.001583333	9.62
0.029625	19.35
0.061125	29.72
0.091458333	39.52
0.122958333	49.37
0.153791667	59.25
0.18475	69.19
0.216666667	78.73
0.24725	88.92
0.278791667	98.48
0.31	108.6
0.3415	117.93
0.372416667	128.07
0.404208333	137.45
0.435083333	147.59
0.466	157.83
0.496916667	167.63
0.52825	177.77
0.559375	187.64
0.590375	197.79
0.621833333	207.43
0.653333333	217.64
0.683958333	227.45
0.71525	237.45
0.746541667	247.2
0.7775	257.4
0.808708333	266.97
0.839666667	276.97
0.870916667	286.82
0.902208333	296.54
0.932958333	306.29
0.9645	316.03
0.995875	325.8
0.969958333	308.62
0.938916667	298.35
0.907458333	288.52
0.87575	278.43
0.845208333	268.59
0.813666667	258.41
0.783	248.48
0.751333333	238.82
0.720916667	228.89
0.689625	218.81
0.65825	209.11
0.626791667	199.41
0.596	189.43
0.564958333	179.6
0.533333333	170.03
0.502375	159.87
0.471125	150.5
0.440041667	140.47
0.4085	130.66
0.377708333	121.16
0.3465	111.15
0.315416667	101.11
0.284125	91.32
0.25325	81.55
0.221666667	71.63
0.190083333	61.62
0.159333333	51.9
0.127875	41.93
0.096833333	32.04
0.065916667	21.76
0.035041667	11.62
0.003166667	2.07
-0.027166667	-7.5
-0.057875	-17.2
-0.089416667	-27.16
-0.12075	-37
-0.151625	-46.46
-0.18325	-56.45
-0.214583333	-66.56
-0.245625	-76.76
-0.276375	-86.69
-0.307416667	-96.68
-0.338875	-107.02
-0.369833333	-116.96
-0.401291667	-126.9
-0.432833333	-137.23
-0.463708333	-147.21
-0.49475	-157.29
-0.526333333	-167.32
-0.557291667	-177.43
-0.588666667	-187.53
-0.61925	-197.25
-0.650541667	-207.41
-0.681708333	-217.55
-0.713166667	-227.73
-0.744	-237.75
-0.775291667	-248.02
-0.80625	-258.1
-0.83725	-268.16
-0.868375	-278.17
-0.9	-287.83
-0.930583333	-297.71
-0.961791667	-307.88
-0.993166667	-317.97
-0.968458333	-303.63
-0.93675	-292.96
-0.905375	-282.35
-0.874	-272.14
-0.842791667	-262.06
-0.811916667	-251.66
-0.78075	-241.7
-0.749333333	-231.29
-0.71875	-221.21
-0.687125	-210.81
-0.656291667	-200.56
-0.625416667	-190.52
-0.594166667	-180.31
-0.562458333	-169.72
-0.531	-159.42
-0.500125	-149.76
-0.469291667	-139.17
-0.43825	-129.13
-0.407125	-118.84
-0.3755	-108.77
-0.344458333	-98.82
-0.3125	-88.86
-0.282375	-78.76
-0.250791667	-68.92
-0.219375	-59.11
-0.187958333	-49.06
-0.157125	-39.41
-0.126041667	-29.5
-0.095041667	-19.7
-0.063958333	-10.14
-0.032583333	-0.34
-0.001833333	9.24
0.029458333	18.87
0.060791667	29.18
0.091875	39.3
0.122875	49.13
0.1535	59.2
0.185166667	68.98
0.216583333	78.83
0.24775	88.69
0.2785	98.38
0.309708333	107.94
0.341125	117.68
0.372791667	127.84
0.404125	137.41
0.434833333	147.41
0.466083333	157.57
0.49775	167.49
0.528125	177.57
0.5595	187.38
0.590791667	197.53
0.621666667	206.96
0.653	217.12
0.684208333	227.08
0.715791667	237.04
0.746416667	246.98
0.777625	256.67
0.808625	266.38
0.840208333	276.38
0.871333333	286.42
0.902083333	296.15
0.933625	305.75
0.964666667	315.84
0.995583333	325.69
0.9705	309.86
0.939166667	299.72
0.907666667	289.62
0.876791667	279.28
0.844875	269.57
0.813458333	259.75
0.782916667	250.15
0.751541667	240.08
0.720875	230
0.689583333	220.23
0.6585	210.28
0.627083333	200.33
0.596041667	190.65
0.564291667	180.54
0.53325	170.99
0.502625	160.85
0.471208333	151.23
0.44	141.54
0.4095	131.54
0.377791667	121.69
0.346	111.92
0.314875	101.68
0.284	92.31
0.252666667	82.34
0.221333333	72.14
0.190666667	62.29
0.159416667	52.37
0.127833333	42.69
0.097166667	32.78
0.065625	22.51
0.034833333	12.5
0.003125	2.86
-0.027041667	-6.84
-0.058708333	-16.79
-0.089625	-26.56
-0.120541667	-36.41
-0.151833333	-45.76
-0.183208333	-56.11
-0.214583333	-65.99
-0.245041667	-75.78
-0.276541667	-86.08
-0.3075	-96.15
-0.338916667	-106.4
-0.369666667	-116.22
-0.40125	-126.4
-0.432625	-136.57
-0.463458333	-146.66
-0.495125	-156.36
-0.526291667	-166.64
-0.5565	-176.49
-0.588125	-186.98
-0.619833333	-197.03
-0.650458333	-206.95
-0.682291667	-217.26
-0.712958333	-227.27
-0.743916667	-237.29
-0.774958333	-247.77
-0.8065	-257.63
-0.836708333	-267.76
-0.868583333	-277.78
-0.899625	-287.51
-0.930916667	-297.9
-0.961625	-307.76
-0.992833333	-318
-0.967625	-303.02
-0.937375	-292.63
-0.904833333	-282.04
-0.874083333	-271.95
-0.842833333	-261.92
-0.812416667	-251.45
-0.781291667	-241.12
-0.749833333	-231.1
-0.718416667	-220.39
-0.687125	-210.3
-0.656375	-200.33
-0.624458333	-190.2
-0.594291667	-180.2
-0.562541667	-169.87
-0.531416667	-159.42
-0.500666667	-149.57
-0.469625	-139.19
-0.43825	-128.87
-0.407416667	-118.89
-0.376083333	-108.7
-0.344708333	-98.8
-0.312583333	-88.69
-0.282041667	-78.46
-0.250916667	-68.96
-0.219416667	-58.78
-0.188375	-49.09
-0.157083333	-39.07
-0.126291667	-29.67
-0.095041667	-19.79
-0.063875	-10.1
-0.032625	-0.21
-0.001375	9.6
0.038541667	22.12
0.080458333	35.72
0.122041667	49.13
0.163791667	62.37
0.205416667	75.57
0.246916667	88.53
0.288333333	101.66
0.330541667	114.75
0.371833333	127.67
0.412416667	140.63
0.454625	154.1
0.49675	167.5
0.538375	180.88
0.57925	194.01
0.621166667	207.29
0.662958333	220.52
0.704291667	233.64
0.746041667	246.94
0.787458333	260.23
0.828666667	273.08
0.870708333	286.45
0.91225	299.71
0.953791667	312.83
0.994791667	325.71
1.036708333	338.9
1.0785	351.22
1.120041667	363.63
1.161208333	375.78
1.203291667	387.7
1.245083333	399.6
1.287208333	410.9
1.328166667	422.3
1.369916667	433.53
1.411875	444.69
1.45275	455.42
1.495083333	466.33
1.459083333	438.32
1.417375	424.78
1.375541667	411.13
1.334083333	397.88
1.292	384.63
1.251208333	371.56
1.209458333	358.01
1.168291667	345.12
1.125416667	331.74
1.085125	318.78
1.042583333	305.34
1.001875	292.73
0.96	279.27
0.91825	266.1
0.877083333	253.15
0.835291667	239.97
0.793125	226.99
0.752416667	214.24
0.710833333	200.89
0.66875	187.93
0.628208333	175.15
0.585833333	162.17
0.544833333	148.92
0.503083333	135.73
0.461083333	123.08
0.4195	110.07
0.378333333	97.17
0.337083333	84.25
0.295333333	71.06
0.253666667	57.87
0.211791667	45.01
0.1705	31.43
0.128791667	18.09
0.087666667	5.65
0.045875	-7.2
0.003875	-20.03
-0.036791667	-32.85
-0.078625	-45.76
-0.120041667	-59
-0.161125	-71.9
-0.202666667	-85.24
-0.244625	-98.61
-0.286083333	-111.58
-0.32725	-124.84
-0.368708333	-137.72
-0.410958333	-151.02
-0.452833333	-164.13
-0.494208333	-177.36
-0.5355	-190.05
-0.576833333	-203.28
-0.618666667	-216.56
-0.659958333	-229.5
-0.70175	-242.71
-0.7425	-255.64
-0.784375	-268.88
-0.826125	-281.45
-0.867666667	-294.43
-0.908791667	-306.84
-0.95025	-319.86
-0.992041667	-332.65
-1.034041667	-345.3
-1.074583333	-357.34
-1.116083333	-368.73
-1.158166667	-380.47
-1.200583333	-391.7
-1.241958333	-402.78
-1.283916667	-413.77
-1.325333333	-424.32
-1.367166667	-435.05
-1.408375	-445.46
-1.449333333	-455.74
-1.491291667	-465.81
-1.458041667	-437.28
-1.415916667	-422.95
-1.374375	-409.34
-1.332583333	-395.66
-1.291166667	-381.99
-1.249916667	-368.6
-1.20875	-355.36
-1.165208333	-341.42
-1.123625	-327.62
-1.082625	-314.63
-1.040833333	-300.88
-0.999208333	-287.49
-0.9575	-274.39
-0.916208333	-260.81
-0.87475	-247.67
-0.833416667	-233.71
-0.791708333	-220.5
-0.750041667	-206.73
-0.708958333	-193.37
-0.666875	-180.29
-0.62575	-166.62
-0.584125	-153.03
-0.542541667	-139.68
-0.501291667	-126.6
-0.46	-113.21
-0.418083333	-100.12
-0.376583333	-86.63
-0.334541667	-73.57
-0.293583333	-60.63
-0.251625	-47.88
-0.210041667	-34.91
-0.168333333	-21.94
-0.126083333	-9.41
-0.085625	3.44
-0.044083333	15.81
-0.002666667	29.27
0.03925	42.54
0.080041667	55.15
0.121666667	68.2
0.163666667	81.05
0.204916667	93.86
0.24625	106.74
0.288125	119.24
0.330583333	131.98
0.371416667	144.43
0.413041667	157.05
0.454916667	169.54
0.496666667	182.23
0.538208333	195.5
0.579166667	208.26
0.621291667	220.88
0.6625	233.43
0.704291667	245.97
0.745625	258.71
0.787083333	271.47
0.82875	283.91
0.870333333	296.45
0.912416667	308.71
0.953333333	321
0.994791667	333.38
1.036416667	345.52
1.078375	358.07
1.119208333	370.21
1.160791667	382.19
1.203041667	394.18
1.24475	406.55
1.285916667	418.04
1.327333333	430.29
1.369625	441.86
1.411666667	453.76
1.452625	465.16
1.494166667	476.76
1.458916667	452.23
1.417583333	438.52
1.375708333	425.02
1.333708333	411.96
1.292708333	398.69
1.250958333	385.29
1.209458333	372.11
1.168	358.9
1.126	345.45
1.084791667	332.12
1.043458333	319.6
1.001416667	306.81
0.959333333	293.55
0.918625	280.58
0.87725	267.45
0.83525	254.44
0.793958333	241.52
0.752375	228.84
0.710375	215.62
0.668791667	202.92
0.627875	189.84
0.585958333	177.16
0.544375	163.91
0.503375	150.76
0.461375	138.04
0.420541667	125.16
0.378833333	112.19
0.337166667	99.31
0.29475	86.13
0.253583333	73.38
0.212083333	60.03
0.170375	47.09
0.128375	33.69
0.087791667	21.1
0.04575	8.24
0.004416667	-4.85
-0.036958333	-17.63
-0.078416667	-30.61
-0.119833333	-43.55
-0.161708333	-56.44
-0.202208333	-69.51
-0.24425	-82.41
-0.28625	-95.74
-0.32775	-108.97
-0.368958333	-121.5
-0.410833333	-134.91
-0.452333333	-147.79
-0.493708333	-160.62
-0.535291667	-173.5
-0.577083333	-186.64
-0.619	-199.75
-0.660416667	-212.75
-0.701333333	-225.68
-0.742916667	-238.47
-0.784541667	-251.74
-0.826166667	-264.53
-0.8675	-277.2
-0.908958333	-290.21
-0.950625	-302.85
-0.992208333	-315.44
-1.033583333	-328.3
-1.074791667	-340.91
-1.116541667	-353.17
-1.158208333	-365.62
-1.200125	-377.59
-1.242375	-390.17
-1.284041667	-401.96
-1.325583333	-413.88
-1.367208333	-426.19
-1.408625	-438.12
-1.449958333	-449.81
-1.490916667	-461.64
-1.458125	-440.73
-1.415708333	-426.58
-1.374541667	-412.86
-1.333333333	-399.57
-1.2915	-385.33
-1.249458333	-371.84
-1.208375	-358.58
-1.1655	-345.17
-1.123916667	-331.68
-1.082541667	-318.04
-1.040541667	-304.47
-0.999	-291.04
-0.958125	-277.76
-0.916416667	-264.34
-0.874541667	-250.78
-0.833791667	-237.66
-0.792	-224.21
-0.750333333	-211.09
-0.708666667	-197.21
-0.667166667	-184.14
-0.625625	-170.24
-0.583791667	-157.27
-0.54275	-143.6
-0.500875	-130.25
-0.459958333	-117.22
-0.417458333	-103.65
-0.376125	-90.41
-0.33475	-77.42
-0.29325	-64.15
-0.251541667	-51.46
-0.210333333	-38.69
-0.1685	-25.48
-0.126958333	-12.89
-0.085375	-0.25
-0.044	12.56
-0.002166667	25.53
0.038958333	38.86
0.080458333	51.98
0.122166667	64.99
0.1635	77.63
0.205166667	90.62
0.247166667	103.22
0.288125	115.83
0.329791667	128.67
0.371625	141.64
0.413	153.71
0.454333333	166.71
0.49675	179.02
0.5375	191.55
0.579333333	204.79
0.621541667	217.86
0.663125	230.46
0.704083333	243.2
0.745875	256.15
0.787458333	268.95
0.829	281.41
0.870416667	293.94
0.911833333	306.43
0.953708333	318.89
0.995208333	330.92
1.036291667	343.22
1.078083333	355.56
1.1195	368.03
1.161416667	380.48
1.2035	392.47
1.244041667	404.66
1.286541667	416.91
1.327833333	429.36
1.369666667	440.98
1.411	452.9
1.4525	464.44
1.494541667	476.61
1.536083333	487.89
1.577833333	499
1.6185	509.82
1.6605	520.66
1.702541667	530.89
1.744083333	540.63
1.785166667	549.47
1.826958333	558.27
1.8685	566.67
1.91	574.66
1.951791667	582.13
1.993375	588.68
1.958375	548.96
1.916333333	535.45
1.874	521.97
1.833125	508.82
1.791	495.38
1.749625	482.23
1.707875	468.77
1.6665	455.79
1.625333333	442.45
1.583541667	429.31
1.541708333	415.82
1.501083333	403.03
1.458916667	389.98
1.417583333	376.71
1.375541667	363.69
1.334583333	350.59
1.292833333	337.57
1.251083333	324.55
1.210166667	311.53
1.168125	298.85
1.126041667	285.65
1.085458333	272.86
1.043125	259.86
1.001416667	246.86
0.960458333	234.32
0.919458333	221.34
0.876958333	208.43
0.835291667	195.34
0.793958333	182.82
0.752458333	170.02
0.710583333	157.19
0.668916667	144.27
0.628041667	131.72
0.586416667	118.96
0.545125	105.95
0.503208333	93.08
0.461625	80.57
0.420458333	68
0.378625	55.23
0.337166667	42.08
0.295416667	29.01
0.254	15.8
0.212458333	3.75
0.1705	-9.01
0.128833333	-21.29
0.087333333	-33.82
0.0455	-46.34
0.003916667	-58.87
-0.036708333	-71.5
-0.078166667	-84.24
-0.12	-96.86
-0.1615	-109.37
-0.2025	-121.76
-0.244208333	-134.44
-0.286083333	-147.09
-0.32775	-159.51
-0.369416667	-171.67
-0.411416667	-184
-0.452208333	-196.27
-0.493833333	-208.47
-0.535458333	-220.82
-0.577208333	-233.24
-0.618875	-245.87
-0.660041667	-257.92
-0.702125	-270.06
-0.743333333	-282
-0.784458333	-293.93
-0.826	-305.71
-0.867666667	-317.61
-0.909083333	-329.28
-0.950416667	-341.27
-0.99225	-353.11
-1.034166667	-364.56
-1.074916667	-375.85
-1.116583333	-387.19
-1.158083333	-398.03
-1.20025	-409.38
-1.242708333	-420.43
-1.283916667	-430.74
-1.325583333	-441.64
-1.3675	-452.31
-1.408625	-462.77
-1.45025	-473.09
-1.491041667	-483.42
-1.533083333	-493.41
-1.574708333	-502.88
-1.61625	-512.32
-1.657875	-521.23
-1.699458333	-529.45
-1.740833333	-537.46
-1.782791667	-544.91
-1.82425	-552.02
-1.865333333	-558.33
-1.906708333	-564.34
-1.94875	-569.68
-1.990458333	-574.49
-1.956666667	-530.83
-1.914833333	-517.13
-1.872583333	-502.64
-1.83175	-489.52
-1.790291667	-475.9
-1.74825	-462.47
-1.70625	-448.88
-1.664625	-435.66
-1.622958333	-422.04
-1.581458333	-409.07
-1.540958333	-395.86
-1.498916667	-381.86
-1.45725	-368.61
-1.415416667	-355.46
-1.374	-342.07
-1.33275	-328.52
-1.291333333	-315.16
-1.249916667	-302.06
-1.208125	-288.52
-1.165541667	-275.39
-1.123875	-262.07
-1.082791667	-248.91
-1.040625	-235.72
-0.999875	-222.51
-0.958	-209.22
-0.916166667	-195.82
-0.874916667	-183.03
-0.832791667	-169.54
-0.792125	-156.68
-0.743958333	-142.23
-0.709333333	-130.17
-0.667583333	-117.4
-0.625708333	-104.26
-0.58425	-91.09
-0.543125	-78.14
-0.500958333	-65.5
-0.459166667	-52.77
-0.418458333	-40.42
-0.376791667	-27.86
-0.334458333	-15.39
-0.293208333	-3.24
-0.251541667	9.15
-0.209791667	21.43
-0.168375	34.34
-0.127166667	47.03
-0.084916667	59.21
-0.043916667	71.92
-0.002791667	84.03
0.039208333	96.49
0.080125	108.26
0.121833333	120.84
0.163708333	132.92
0.205208333	145.27
0.247416667	157.52
0.288208333	169.22
0.33	181.49
0.371375	193.59
0.413041667	205.35
0.454416667	217.37
0.496666667	228.95
0.537958333	240.71
0.579208333	252.34
0.620875	263.8
0.6625	275.35
0.704	286.49
0.746208333	298.04
0.788041667	309.3
0.8285	320.48
0.87	331.4
0.912166667	342.46
0.953	353.4
0.994666667	364.05
1.03675	375.34
1.07825	386.05
1.119083333	396.67
1.160958333	407.17
1.203333333	417.9
1.244583333	428.68
1.285791667	438.59
1.327291667	448.94
1.369458333	458.87
1.410291667	468.77
1.452416667	479.03
1.494458333	488.81
1.535625	498.04
1.5775	507.64
1.618375	517.19
1.660125	526.41
1.702083333	535.71
1.743875	544.65
1.784791667	553.39
1.826666667	562.18
1.868583333	570.82
1.9095	579.1
1.952083333	586.92
1.992833333	593.88
1.958208333	561.23
1.917208333	547.62
1.874666667	534.13
1.832708333	520.92
1.791916667	507.72
1.750083333	494.26
1.708541667	481.14
1.6665	467.66
1.625375	454.49
1.583875	441.5
1.541875	428.58
1.500458333	415.52
1.458583333	402.49
1.418083333	390.13
1.375791667	376.74
1.334208333	363.97
1.292458333	350.81
1.250958333	337.75
1.209708333	325.07
1.168125	312.11
1.126375	299.27
1.084791667	286.18
1.043125	273.09
1.001291667	260.3
0.960291667	247.76
0.91875	235.05
0.877166667	222.23
0.835208333	209.27
0.793458333	196.45
0.752875	183.9
0.71075	170.95
0.66925	158.12
0.628583333	145.68
0.586291667	132.99
0.545208333	119.99
0.503083333	106.91
0.461833333	94.64
0.42075	81.93
0.378083333	69.31
0.337208333	56.52
0.295291667	43.71
0.253375	30.66
0.2125	17.32
0.170708333	5.6
0.128541667	-7.05
0.087666667	-19.13
0.045791667	-31.57
0.003708333	-44.21
-0.037166667	-56.74
-0.078125	-69.13
-0.120125	-81.65
-0.162041667	-94
-0.202416667	-106.04
-0.2445	-118.56
-0.286	-130.74
-0.327375	-143.17
-0.369333333	-155.23
-0.411041667	-167.53
-0.45175	-179.53
-0.493375	-191.59
-0.535625	-203.54
-0.577166667	-215.75
-0.618416667	-227.72
-0.659291667	-239.97
-0.701625	-251.7
-0.742666667	-263.62
-0.784333333	-275.46
-0.826458333	-286.84
-0.8675	-298.5
-0.909208333	-309.57
-0.950625	-321.32
-0.9915	-333.02
-1.033375	-344.24
-1.07525	-355.27
-1.115958333	-366.05
-1.157708333	-377.08
-1.200083333	-387.73
-1.242458333	-398.56
-1.28325	-408.79
-1.325333333	-419.17
-1.367041667	-430.07
-1.407958333	-440.1
-1.449958333	-450.28
-1.491	-460.12
-1.533166667	-470.2
-1.574208333	-479.87
-1.615875	-489.51
-1.657166667	-499.15
-1.699291667	-508.64
-1.740416667	-517.69
-1.782375	-527.26
-1.823666667	-536.46
-1.864625	-544.85
-1.906875	-553.53
-1.948375	-561.56
-1.989833333	-569.31
-1.95725	-542.82
-1.914625	-528.52
-1.872791667	-514.29
-1.831	-500.65
-1.789083333	-487.14
-1.748708333	-473.97
-1.706875	-460.3
-1.664625	-446.97
-1.623541667	-433.63
-1.581541667	-420.37
-1.539791667	-406.85
-1.49875	-393.63
-1.456666667	-379.85
-1.414875	-366.66
-1.37425	-353.49
-1.332708333	-340.4
-1.291041667	-326.65
-1.250208333	-313.49
-1.208291667	-300.13
-1.165666667	-287.1
-1.123375	-273.37
-1.082	-260.42
-1.041125	-247.23
-0.999333333	-234.32
-0.958208333	-220.86
-0.916166667	-207.67
-0.874625	-194.44
-0.833333333	-181.24
-0.791375	-167.88
-0.750166667	-154.91
-0.708708333	-141.64
-0.667458333	-128.85
-0.625958333	-115.91
-0.584291667	-102.77
-0.543083333	-89.66
-0.501083333	-76.89
-0.459166667	-63.96
-0.418541667	-51.69
-0.37675	-38.92
-0.33475	-26.7
-0.293375	-13.72
-0.251083333	-1.49
-0.21025	10.55
-0.168708333	22.91
-0.127	35.8
-0.085125	48.76
-0.043708333	61.25
-0.002208333	73.61
0.038458333	86.02
0.080666667	97.9
0.121875	110.44
0.163583333	122.51
0.205125	134.71
0.246958333	146.97
0.288166667	159.24
0.329416667	171.39
0.371625	183.46
0.412625	195.58
0.454708333	207.48
0.496583333	219.44
0.538625	231.24
0.578833333	242.77
0.621041667	254.61
0.662833333	266.26
0.704208333	277.46
0.74575	289.13
0.786875	300.48
0.828625	312.09
0.870208333	323.19
0.911708333	334.31
0.953583333	345.47
0.994875	356.41
1.035958333	367.36
1.077333333	378.39
1.11925	389.22
1.161041667	399.83
1.203083333	410.67
1.244625	421.14
1.285666667	431.7
1.327166667	442.35
1.369041667	452.51
1.410625	462.98
1.452291667	472.92
1.494166667	483.03
1.535541667	492.98
1.577375	502.82
1.618708333	512.6
1.659625	522.23
1.701541667	531.8
1.74325	541.1
1.784791667	550.02
1.826375	559.52
1.868125	568.78
1.90925	577.24
1.951166667	585.77
1.992791667	593.79
2.034083333	601.1
2.075875	606.85
2.117833333	612.4
2.158958333	617.29
2.200791667	620.94
2.242375	624.62
2.28425	627.59
2.325666667	630.22
2.366875	632.36
2.408458333	634.72
2.449708333	636.31
2.491541667	638.3
2.533333333	639.87
2.574708333	641.24
2.616208333	642.65
2.658125	643.99
2.699375	645.38
2.740416667	646.44
2.7825	647.49
2.823333333	648.52
2.865	649.28
2.906666667	650.21
2.948333333	650.9
2.99	651.8
2.955	616.29
2.914166667	602.8
2.8725	589.55
2.830833333	576.21
2.789166667	562.73
2.7475	549.81
2.706458333	536.45
2.664625	523.2
2.623208333	510.15
2.581875	496.92
2.539916667	483.82
2.498541667	470.74
2.457166667	457.71
2.415041667	444.89
2.373875	431.86
2.332125	418.79
2.291	406.13
2.24925	393.22
2.207875	380.37
2.165375	367.37
2.125166667	354.6
2.082875	341.82
2.041458333	329.28
1.999291667	316.31
1.958041667	303.84
1.916458333	290.83
1.874583333	278.11
1.833583333	265.69
1.791583333	252.88
1.750541667	240.58
1.708875	227.85
1.6675	216.27
1.624958333	203.03
1.583583333	190.42
1.54175	177.62
1.50025	165.26
1.4585	152.78
1.417833333	140.61
1.375875	127.83
1.334291667	115.39
1.293166667	103.24
1.2515	90.96
1.209416667	78.77
1.168208333	66.62
1.126333333	54.19
1.084666667	41.95
1.042875	29.37
1.001916667	17.28
0.95975	5.51
0.918666667	-6.56
0.876833333	-18.19
0.835916667	-29.61
0.793916667	-41.55
0.752833333	-53.12
0.710583333	-64.53
0.669625	-76.09
0.628083333	-87.62
0.586458333	-98.88
0.544708333	-110.46
0.503583333	-121.58
0.461875	-132.49
0.419958333	-143.76
0.377916667	-155.15
0.33725	-165.47
0.295375	-176.59
0.25375	-187.13
0.211708333	-197.89
0.170708333	-208.11
0.128833333	-218.46
0.087291667	-228.67
0.0465	-238.87
0.004291667	-248.85
-0.036541667	-258.81
-0.078291667	-268.68
-0.119791667	-278.05
-0.160708333	-287.68
-0.202333333	-297.12
-0.2445	-306.53
-0.286166667	-315.93
-0.327583333	-325.01
-0.368875	-333.77
-0.4105	-342.62
-0.452166667	-351.47
-0.493958333	-359.99
-0.535708333	-368.43
-0.57675	-376.79
-0.618791667	-384.97
-0.660041667	-393.12
-0.70175	-401.42
-0.742541667	-409.24
-0.783916667	-417.09
-0.826291667	-424.63
-0.867541667	-432.5
-0.90875	-439.37
-0.950625	-446.7
-0.991958333	-453.84
-1.033833333	-461.15
-1.074958333	-467.9
-1.116166667	-474.74
-1.157791667	-481.43
-1.200166667	-487.96
-1.242166667	-494.51
-1.284041667	-500.7
-1.325375	-506.67
-1.367416667	-512.56
-1.40825	-518.44
-1.45	-524.27
-1.491166667	-530.12
-1.533208333	-535.67
-1.574583333	-540.61
-1.6165	-546
-1.6575	-550.91
-1.699041667	-555.84
-1.740916667	-560.24
-1.782791667	-564.77
-1.824	-569.15
-1.865208333	-573.07
-1.90675	-576.91
-1.948833333	-580.73
-1.99025	-584.41
-2.031208333	-587.33
-2.073291667	-590.36
-2.114666667	-593.12
-2.156458333	-595.92
-2.198125	-598.36
-2.238791667	-600.65
-2.280875	-602.6
-2.322208333	-604.75
-2.36375	-606.78
-2.40575	-608.91
-2.446791667	-610.3
-2.488	-611.74
-2.529875	-613.37
-2.571666667	-614.54
-2.613	-615.84
-2.65475	-617.56
-2.696208333	-618.8
-2.7375	-620.21
-2.777916667	-620.9
-2.820416667	-621.85
-2.862083333	-623.17
-2.903333333	-624.55
-2.945	-625.7
-2.986666667	-626.44
