qpz (%)	Lateral Force (kN)
0.046125588	264.39
0.046931601	273.98
0.047488487	283.75
0.04812713	293.27
0.048929289	302.59
0.049735303	312.04
0.050623074	321.28
0.051716762	303.72
0.052148679	293.94
0.051926533	283.21
0.051544727	273.53
0.050913793	263.57
0.050282859	253.37
0.049733683	243.56
0.049344167	233.84
0.048880603	223.31
0.048327572	213.12
0.047611025	203.27
0.046797302	193.58
0.045224632	183.56
0.043484591	173.61
0.042585256	164.05
0.041261713	154.01
0.038486615	144.37
0.036563785	134.61
0.034216749	124.7
0.032465144	114.9
0.029950737	105.01
0.027771071	95.3
0.025762629	85.54
0.023672429	75.27
0.021492763	65.69
0.019398708	55.81
0.017137284	45.78
0.01487586	35.88
0.012700048	25.67
0.010349156	15.45
0.008165635	6
0.005818599	-4.13
0.003635077	-13.43
0.001712248	-23.42
-0.000381806	-33.22
-0.002728843	-43.34
-0.00541062	-52.96
-0.007586432	-62.93
-0.009847856	-73.16
-0.012444021	-83.37
-0.014277383	-93.33
-0.01628968	-103.4
-0.018126897	-113.58
-0.020730771	-123.28
-0.02349816	-133.74
-0.025506602	-143.81
-0.028021009	-153.83
-0.02986208	-163.85
-0.031621394	-173.83
-0.033711594	-184.03
-0.035797939	-194.11
-0.037467785	-204.48
-0.03956184	-214.57
-0.041652039	-225.09
-0.044174155	-235.16
-0.046439434	-245.19
-0.048872083	-255.67
-0.051725085	-265.29
-0.053737382	-274.74
-0.056590383	-284.35
-0.059026887	-293.54
-0.061035329	-302.85
-0.063888331	-312.01
-0.065896773	-320.68
-0.06817747	-302.33
-0.068040937	-291.56
-0.067491761	-281.22
-0.066767505	-271.27
-0.066125007	-261.39
-0.065151623	-250.92
-0.063746323	-240.76
-0.061905251	-230.46
-0.059476457	-220.03
-0.05746416	-209.95
-0.054864141	-199.8
-0.05284799	-189.42
-0.050497098	-179.67
-0.047729709	-168.94
-0.045721267	-158.74
-0.043117393	-148.79
-0.041023339	-138.67
-0.038847527	-128.22
-0.036757328	-118.27
-0.03458537	-107.89
-0.032580783	-98.17
-0.030829179	-88.04
-0.028318626	-78.04
-0.026909471	-68.28
-0.024819272	-58.22
-0.023067667	-48.6
-0.02123045	-38.34
-0.018969026	-28.83
-0.016532522	-19.1
-0.013839181	-9.37
-0.011916352	0.45
-0.00974054	10.15
-0.007222278	20.08
0.01014486	89.35
0.011810853	98.77
0.013994374	108.79
0.016423168	118.41
0.018349852	128.39
0.02052181	137.92
0.022106044	148.25
0.024114486	158.25
0.026200831	168.11
0.028049612	178.4
0.030225424	188.28
0.032658073	198.03
0.03483003	207.73
0.037180921	217.78
0.039520249	227.63
0.04136132	237.73
0.043704503	247.36
0.045631187	257.39
0.047040342	267.08
0.047519324	277.09
0.048321483	286.8
0.049045739	296.49
0.04959877	306.25
0.050482687	316.06
0.05112133	325.37
0.052036084	309.71
0.052795032	299.51
0.052740256	289.28
0.052436353	279.34
0.051805419	269.46
0.051256243	259.38
0.050707066	249.64
0.050161744	239.69
0.049445198	229.67
0.049145149	219.85
0.048510361	209.85
0.04727243	199.97
0.04637695	190.13
0.044800425	180.21
0.043480737	170.43
0.042075436	160.35
0.039471562	150.69
0.037385217	141.17
0.035038181	130.89
0.033368334	121.31
0.030857782	111.39
0.028931098	101.66
0.026837043	91.95
0.024575619	82.05
0.02247771	72.31
0.020301898	61.94
0.018040474	52.39
0.016117645	42.34
0.014109203	32.62
0.012015149	22.01
0.009586354	12.14
0.007488445	2.74
0.005394391	-6.97
0.003132967	-16.7
0.001038913	-26.54
-0.001140754	-36.39
-0.003740773	-46.24
-0.005834827	-56.12
-0.008263622	-66.05
-0.010528901	-76.22
-0.012280505	-86.25
-0.01437456	-96.3
-0.016632129	-106.28
-0.019146536	-116.43
-0.02107322	-126.92
-0.023412548	-136.79
-0.025763439	-146.63
-0.027768026	-156.92
-0.029609098	-166.91
-0.031699297	-176.8
-0.033450902	-186.99
-0.035965309	-197.24
-0.038475861	-207.03
-0.040569915	-217.21
-0.042749582	-227.51
-0.044505041	-237.6
-0.047198382	-247.89
-0.049463661	-258.12
-0.052402275	-268.1
-0.055006149	-277.87
-0.056769318	-287.84
-0.059373191	-297.89
-0.061891453	-308
-0.06423849	-317.66
-0.066009368	-303.27
-0.066199866	-292.59
-0.065895962	-282.15
-0.065261174	-272.14
-0.064626385	-261.87
-0.064069499	-251.64
-0.063181728	-241.29
-0.06202941	-231.18
-0.06044903	-221.05
-0.057934623	-210.8
-0.056093552	-200.14
-0.053832127	-190.2
-0.051053174	-180.1
-0.048531058	-169.79
-0.045674201	-159.42
-0.043498389	-149.4
-0.04106574	-139.11
-0.038465721	-129.28
-0.036539037	-118.59
-0.034110242	-108.59
-0.032358638	-98.65
-0.030354051	-88.5
-0.028178239	-78.66
-0.026255409	-68.77
-0.02416521	-58.69
-0.02207501	-49.14
-0.020833225	-39.18
-0.018820929	-29.36
-0.017240549	-19.65
-0.01531772	-9.94
-0.01322752	-0.22
-0.010623646	9.62
-0.007848548	19.35
-0.005077304	29.72
-0.00247343	39.52
0.000130444	49.37
0.002644851	59.25
0.004816808	69.19
0.00700033	78.73
0.009429124	88.92
0.011608791	98.48
0.014037585	108.6
0.015878657	117.93
0.017972711	128.07
0.02023799	137.45
0.022756251	147.59
0.024846451	157.83
0.027286809	167.63
0.029462621	177.77
0.031642288	187.64
0.033899858	197.79
0.036332507	207.43
0.038091821	217.64
0.040687985	227.45
0.042704136	237.45
0.044712578	247.2
0.046036121	257.4
0.047698258	266.97
0.048430223	276.97
0.049232382	286.82
0.04970751	296.54
0.050591427	306.29
0.051311828	316.03
0.052036084	325.8
0.052795032	308.62
0.053472221	298.35
0.053253931	288.52
0.052790367	278.43
0.052237336	268.59
0.051769917	258.41
0.05089371	248.48
0.050504194	238.82
0.049869405	228.89
0.049324083	218.81
0.048767198	209.11
0.0481247	199.41
0.046458708	189.43
0.045224632	179.6
0.043990556	170.03
0.041982115	159.87
0.039635078	150.5
0.036521384	140.47
0.03493715	130.66
0.0331894	121.16
0.031184813	111.15
0.029176371	101.11
0.026914947	91.32
0.024817038	81.55
0.022555613	71.63
0.020461559	61.62
0.01819628	51.9
0.016102226	41.93
0.013926414	32.04
0.011746748	21.76
0.009317953	11.62
0.007305657	2.07
0.005129845	-7.5
0.003035791	-17.2
0.000688754	-27.16
-0.001490913	-37
-0.003670579	-46.46
-0.005928149	-56.45
-0.007936591	-66.56
-0.01019416	-76.76
-0.012373827	-86.69
-0.014467881	-96.68
-0.016818773	-107.02
-0.019582307	-116.96
-0.021684071	-126.9
-0.024031108	-137.23
-0.026292532	-147.21
-0.028297119	-157.29
-0.030558543	-167.32
-0.03239576	-177.43
-0.034482105	-187.53
-0.036237565	-197.25
-0.038327764	-207.41
-0.040752704	-217.55
-0.042426405	-227.73
-0.045026425	-237.75
-0.047373461	-248.02
-0.049642595	-258.1
-0.052417694	-268.16
-0.054348232	-278.17
-0.057033864	-287.83
-0.059295288	-297.71
-0.06130373	-307.88
-0.064242344	-317.97
-0.065845852	-303.63
-0.066196011	-292.96
-0.065646834	-282.35
-0.065261174	-272.14
-0.064871658	-262.06
-0.063983887	-251.66
-0.063341389	-241.7
-0.062189071	-231.29
-0.060017113	-221.21
-0.058261654	-210.81
-0.055747247	-200.56
-0.053400211	-190.52
-0.051477381	-180.31
-0.048612816	-169.72
-0.046180166	-159.42
-0.04349068	-149.76
-0.041653463	-139.17
-0.039392039	-129.13
-0.037216227	-118.84
-0.034787432	-108.77
-0.032864603	-98.82
-0.030517566	-88.86
-0.0283379	-78.76
-0.026165942	-68.92
-0.024414338	-59.11
-0.022491508	-49.06
-0.019887634	-39.41
-0.01847077	-29.5
-0.015785139	-19.7
-0.014208613	-10.14
-0.012281929	-0.34
-0.009934893	9.24
-0.007755226	18.87
-0.005408189	29.18
-0.00297554	39.3
-0.000375521	49.13
0.00231782	59.2
0.004750469	68.98
0.007097506	78.83
0.00935893	88.69
0.011452984	98.38
0.013461426	107.94
0.015812318	117.68
0.018073742	127.84
0.020331312	137.41
0.02242922	147.41
0.024612742	157.57
0.026699087	167.49
0.028878753	177.57
0.030972807	187.38
0.033319844	197.53
0.035324431	206.96
0.037500243	217.12
0.039255702	227.08
0.041933625	237.04
0.043860309	246.98
0.045358931	256.67
0.047192293	266.38
0.048515836	276.38
0.049403607	286.42
0.049964347	296.15
0.050680894	305.75
0.051483053	315.84
0.051794665	325.69
0.052545904	309.86
0.053300997	299.72
0.053324125	289.62
0.052774948	279.28
0.051980498	269.57
0.05168045	259.75
0.051298644	250.15
0.050749467	240.08
0.050114679	230
0.049810775	220.23
0.049175987	210.28
0.048451731	200.33
0.047128188	190.65
0.045220777	180.54
0.044484958	170.99
0.042569837	160.85
0.040304558	151.23
0.038128747	141.54
0.03594908	131.54
0.033687656	121.69
0.031679214	111.92
0.029499547	101.68
0.027238123	92.31
0.025058456	82.34
0.022793177	72.14
0.020784736	62.29
0.018605069	52.37
0.016678385	42.69
0.014502573	32.78
0.012326761	22.51
0.009894112	12.5
0.007796203	2.86
0.005534779	-6.84
0.003526337	-16.79
0.001436138	-26.56
-0.000910899	-36.41
-0.003090566	-45.76
-0.005604973	-56.11
-0.007866397	-65.99
-0.010127821	-75.78
-0.012132408	-86.08
-0.014393833	-96.15
-0.01674087	-106.4
-0.019675629	-116.22
-0.021267573	-126.4
-0.023610755	-136.57
-0.025872179	-146.66
-0.028051846	-156.36
-0.030309415	-166.64
-0.032563131	-176.49
-0.034069462	-186.98
-0.036077904	-197.03
-0.038588456	-206.95
-0.040425673	-217.26
-0.042352357	-227.27
-0.044785006	-237.29
-0.047135897	-247.77
-0.049825384	-257.63
-0.052090663	-267.76
-0.054694537	-277.78
-0.056788591	-287.51
-0.058625808	-297.9
-0.06096899	-307.76
-0.063316027	-318
-0.065001292	-303.02
-0.065347596	-292.63
-0.06496579	-282.04
-0.064661887	-271.95
-0.06394534	-261.92
-0.063474067	-251.45
-0.062749811	-241.12
-0.06168696	-231.1
-0.060192193	-220.39
-0.057759544	-210.3
-0.055241282	-200.33
-0.053314598	-190.2
-0.050881949	-180.2
-0.048363688	-169.87
-0.046020506	-159.42
-0.043844694	-149.57
-0.042089234	-139.19
-0.039742198	-128.87
-0.037651998	-118.89
-0.035304961	-108.7
-0.032957925	-98.8
-0.030782113	-88.69
-0.028602446	-78.46
-0.026344876	-68.96
-0.024760642	-58.78
-0.021985543	-49.09
-0.020319551	-39.07
-0.018739171	-29.67
-0.016306522	-19.79
-0.014465451	-10.1
-0.01306015	-0.21
-0.010966096	9.6
-0.007860112	22.12
-0.004504999	35.72
-0.001488482	49.13
0.001528035	62.37
0.005143839	75.57
0.008841401	88.53
0.012029143	101.66
0.014874436	114.75
0.01781305	127.67
0.020666052	140.63
0.023600811	154.1
0.026111364	167.5
0.029120172	180.88
0.031716336	194.01
0.034651096	207.29
0.037905177	220.52
0.040326262	233.64
0.042922427	246.94
0.045507028	260.23
0.04801758	273.08
0.049493074	286.45
0.050124008	299.71
0.051085828	312.83
0.051716762	325.71
0.052511212	338.9
0.053223904	351.22
0.054267481	363.63
0.055564042	375.78
0.056697086	387.7
0.058001356	399.6
0.059391237	410.9
0.061380406	422.3
0.06319835	433.53
0.06510576	444.69
0.067775974	455.42
0.070364429	466.33
0.072314241	438.32
0.072345078	424.78
0.071807465	411.13
0.071265998	397.88
0.070646628	384.63
0.070109016	371.56
0.069322275	358.01
0.068449922	345.12
0.06791231	331.74
0.06712557	318.78
0.066662006	305.34
0.065953168	292.73
0.065162573	279.27
0.063776546	266.1
0.062051924	253.15
0.060304174	239.97
0.056610467	226.99
0.054018157	214.24
0.05167883	200.89
0.049094229	187.93
0.045735262	175.15
0.043999076	162.17
0.040729576	148.92
0.037794816	135.73
0.035288119	123.08
0.032438972	110.07
0.029597534	97.17
0.026915757	84.25
0.024327301	71.06
0.021563767	57.87
0.018636716	45.01
0.015962649	31.43
0.013541563	18.09
0.010521192	5.65
0.007590287	-7.2
0.004663236	-20.03
0.002070926	-32.85
-0.001116816	-45.76
-0.004129478	-59
-0.007480736	-71.9
-0.010497253	-85.24
-0.013684996	-98.61
-0.016701513	-111.58
-0.019379435	-124.84
-0.022395953	-137.72
-0.025155633	-151.02
-0.02800478	-164.13
-0.030756751	-177.36
-0.033520285	-190.05
-0.03645119	-203.28
-0.03955332	-216.56
-0.042741062	-229.5
-0.045422839	-242.71
-0.048606727	-255.64
-0.051117279	-268.88
-0.053966426	-281.45
-0.056982943	-294.43
-0.059668575	-306.84
-0.063027542	-319.86
-0.066133526	-332.65
-0.069574251	-345.3
-0.07111223	-357.34
-0.072155807	-368.73
-0.07353798	-380.47
-0.07517699	-391.7
-0.07674966	-402.78
-0.078984102	-413.77
-0.080802046	-424.32
-0.0831221	-435.05
-0.085021801	-445.46
-0.086411683	-455.74
-0.088482609	-465.81
-0.091261563	-437.28
-0.090720096	-422.95
-0.090345999	-409.34
-0.089641016	-395.66
-0.088932179	-381.99
-0.088546518	-368.6
-0.0871682	-355.36
-0.085856221	-341.42
-0.08395652	-327.62
-0.081290161	-314.63
-0.079713636	-300.88
-0.07679815	-287.49
-0.074630047	-274.39
-0.071189323	-260.81
-0.068425788	-247.67
-0.065405416	-233.71
-0.061879079	-220.5
-0.058687482	-206.73
-0.055414128	-193.37
-0.05239761	-180.29
-0.049299335	-166.62
-0.04637614	-153.03
-0.043534702	-139.68
-0.040946246	-126.6
-0.038108663	-113.21
-0.035263371	-100.12
-0.031915968	-86.63
-0.02907453	-73.57
-0.025384677	-60.63
-0.022624997	-47.88
-0.020122154	-34.91
-0.018214743	-21.94
-0.01554453	-9.41
-0.012613625	3.44
-0.009853945	15.81
-0.006670058	29.27
-0.003988281	42.54
-0.000975618	55.15
0.00220827	68.2
0.00480058	81.05
0.007984467	93.86
0.011082742	106.74
0.013752955	119.24
0.016170186	131.98
0.0191088	144.43
0.02186848	157.05
0.02480324	169.54
0.027815902	182.23
0.030665049	195.5
0.034027871	208.26
0.036437392	220.88
0.041898123	233.43
0.043478502	245.97
0.045631187	258.71
0.047709822	271.47
0.050037586	283.91
0.051863239	296.45
0.053256975	308.71
0.055246144	321
0.056725493	333.38
0.057438184	345.52
0.058991582	358.07
0.060299706	370.21
0.062024328	382.19
0.062748584	394.18
0.063624791	406.55
0.064508708	418.04
0.065474382	430.29
0.066774797	441.86
0.068168534	453.76
0.069647882	465.16
0.071391778	476.76
0.073240559	452.23
0.073438766	438.52
0.072897299	425.02
0.072192316	411.96
0.071654704	398.69
0.071031479	385.29
0.070334205	372.11
0.069372386	358.9
0.068994434	345.45
0.068452967	332.12
0.06774413	319.6
0.067128614	306.81
0.066166794	293.55
0.064948137	280.58
0.063305273	267.45
0.061487329	254.44
0.059323081	241.52
0.056049727	228.84
0.052430068	215.62
0.049335647	202.92
0.047078078	189.84
0.044909975	177.16
0.041726088	163.91
0.038623958	150.76
0.035860423	138.04
0.033096888	125.16
0.030504578	112.19
0.027744898	99.31
0.024646623	86.13
0.021972555	73.38
0.019465858	60.03
0.01695916	47.09
0.014113868	33.69
0.011182963	21.1
0.007995221	8.24
0.005231686	-4.85
0.002386393	-17.63
-0.001132234	-30.61
-0.003561029	-43.55
-0.006912286	-56.44
-0.009422839	-69.51
-0.012777951	-82.41
-0.015798323	-95.74
-0.018476245	-108.97
-0.021150313	-121.5
-0.023742623	-134.91
-0.026416691	-147.79
-0.029090758	-160.62
-0.031597456	-173.5
-0.034528361	-186.64
-0.037797861	-199.75
-0.040647008	-212.75
-0.043920363	-225.68
-0.047022492	-238.47
-0.050128477	-251.74
-0.053144994	-264.53
-0.055651692	-277.2
-0.058496984	-290.21
-0.061171052	-302.85
-0.06384512	-315.44
-0.066861637	-328.3
-0.07088623	-340.91
-0.073735377	-353.17
-0.075296483	-365.62
-0.07634777	-377.59
-0.078161859	-390.17
-0.079812433	-401.96
-0.081377394	-413.88
-0.082856743	-426.19
-0.083997497	-438.12
-0.085472991	-449.81
-0.087026389	-461.64
-0.088875169	-440.73
-0.088987764	-426.58
-0.088286636	-412.86
-0.087994297	-399.57
-0.087207557	-385.33
-0.086580477	-371.84
-0.085953398	-358.58
-0.08457508	-345.17
-0.083516084	-331.68
-0.081371109	-318.04
-0.079378086	-304.47
-0.0776419	-291.04
-0.075053444	-277.76
-0.072286055	-264.34
-0.068759718	-250.78
-0.06625302	-237.66
-0.06366071	-224.21
-0.06039121	-211.09
-0.057627676	-197.21
-0.054439934	-184.14
-0.051003064	-170.24
-0.047815321	-157.27
-0.044884417	-143.6
-0.041875608	-130.25
-0.039115928	-117.22
-0.035850283	-103.65
-0.033168506	-90.41
-0.030062522	-77.42
-0.027131617	-64.15
-0.024371937	-51.46
-0.021946997	-38.69
-0.019276784	-25.48
-0.016770086	-12.89
-0.014520226	-0.25
-0.01227422	12.56
-0.01002436	25.53
-0.007350292	38.86
-0.00365273	51.98
0.000134299	64.99
0.003150816	77.63
0.006077866	90.62
0.009008771	103.22
0.011690548	115.83
0.014963903	128.67
0.017556213	141.64
0.020576585	153.71
0.023254507	166.71
0.026014187	179.02
0.028948947	191.55
0.032136689	204.79
0.034472162	217.86
0.03714623	230.46
0.03956346	243.2
0.042144206	256.15
0.045756156	268.95
0.047830937	281.41
0.051182194	293.94
0.052423979	306.43
0.05382157	318.89
0.055472144	330.92
0.057803762	343.22
0.059279256	355.56
0.061856148	368.03
0.062989192	380.48
0.064044334	392.47
0.065352458	404.66
0.066742339	416.91
0.067626256	429.36
0.068763155	440.98
0.069977958	452.9
0.070943632	464.44
0.071998774	476.61
0.073221285	487.89
0.074607313	499
0.076339644	509.82
0.078414425	520.66
0.080574818	530.89
0.082649599	540.63
0.084475252	549.47
0.086635646	558.27
0.088375686	566.67
0.090119582	574.66
0.091863477	582.13
0.09335439	588.68
0.094657849	548.96
0.094120236	535.45
0.093500866	521.97
0.092877641	508.82
0.092176513	495.38
0.091553288	482.23
0.090930063	468.77
0.090225081	455.79
0.089516244	442.45
0.088974776	429.31
0.088347697	415.82
0.087393586	403.03
0.086684749	389.98
0.085898009	376.71
0.085021801	363.69
0.084231206	350.59
0.083183774	337.57
0.081622668	324.55
0.080053852	311.53
0.077301881	298.85
0.074713425	285.65
0.070428141	272.86
0.065100089	259.86
0.063784255	246.86
0.061787378	234.32
0.058428411	221.34
0.055664876	208.43
0.052823438	195.34
0.050320595	182.82
0.047467593	170.02
0.044112481	157.19
0.041181576	144.27
0.038161204	131.72
0.035572749	118.96
0.032552377	105.95
0.029878309	93.08
0.027371612	80.57
0.024779302	68
0.021937864	55.23
0.019088716	42.08
0.016076054	29.01
0.013145149	15.8
0.010214244	3.75
0.007372806	-9.01
0.004523659	-21.29
0.001588899	-33.82
-0.001680601	-46.34
-0.004525893	-58.87
-0.007538556	-71.5
-0.010387703	-84.24
-0.013061771	-96.86
-0.015903209	-109.37
-0.018581131	-121.76
-0.021173441	-134.44
-0.024189958	-147.09
-0.026696656	-159.51
-0.029538094	-171.67
-0.032472853	-184
-0.035322	-196.27
-0.038505888	-208.47
-0.04152626	-220.82
-0.044624535	-233.24
-0.047473682	-245.87
-0.04998038	-257.92
-0.05274006	-270.06
-0.055165	-282
-0.05792468	-293.93
-0.060598748	-305.71
-0.062856317	-317.61
-0.065783367	-329.28
-0.068029373	-341.27
-0.070532216	-353.11
-0.073210139	-364.56
-0.074350892	-375.85
-0.075997611	-387.19
-0.07781941	-398.03
-0.079473838	-409.38
-0.081295637	-420.43
-0.082693228	-430.74
-0.084086964	-441.64
-0.0854807	-452.31
-0.086710921	-462.77
-0.08835764	-473.09
-0.090012069	-483.42
-0.092343687	-493.41
-0.094935997	-502.88
-0.097022342	-512.32
-0.099614652	-521.23
-0.101700997	-529.45
-0.10420384	-537.46
-0.10679615	-544.91
-0.108968107	-552.02
-0.111474804	-558.33
-0.113315876	-564.34
-0.114814498	-569.68
-0.116569957	-574.49
-0.118153382	-530.83
-0.117693672	-517.13
-0.116906932	-502.64
-0.11652898	-489.52
-0.115325742	-475.9
-0.114453389	-462.47
-0.113499278	-448.88
-0.112292185	-435.66
-0.111155286	-422.04
-0.108150333	-409.07
-0.10548012	-395.86
-0.103226405	-381.86
-0.099879002	-368.61
-0.097629141	-355.46
-0.094538575	-342.07
-0.091619234	-328.52
-0.089369374	-315.16
-0.086189341	-302.06
-0.083597031	-288.52
-0.080747884	-275.39
-0.077567851	-262.07
-0.075310282	-248.91
-0.072219716	-235.72
-0.06963126	-222.51
-0.066280003	-209.22
-0.06309997	-195.82
-0.060091162	-183.03
-0.057506561	-169.54
-0.054665123	-156.68
-0.051232108	-142.23
-0.049495922	-130.17
-0.046993079	-117.4
-0.043898659	-104.26
-0.041224591	-91.09
-0.038383153	-78.14
-0.03553786	-65.5
-0.032268361	-52.77
-0.028831491	-40.42
-0.025729361	-27.86
-0.022631086	-15.39
-0.020038776	-3.24
-0.017107871	9.15
-0.013495921	21.43
-0.010304325	34.34
-0.007283953	47.03
-0.004528127	59.21
-0.00202143	71.92
0.000991233	84.03
0.004178975	96.49
0.00710988	108.26
0.009962882	120.84
0.012889932	132.92
0.015742934	145.27
0.018245777	157.52
0.019044081	169.22
0.020772558	181.49
0.022255761	193.59
0.02458738	205.35
0.027269157	217.37
0.029865321	228.95
0.032368164	240.71
0.034618025	252.34
0.036961207	263.8
0.040647205	275.35
0.043247224	286.49
0.044901652	298.04
0.047665187	309.3
0.049494695	320.48
0.052087005	331.4
0.05518528	342.46
0.058217216	353.4
0.060381464	364.05
0.061864667	375.34
0.063943303	386.05
0.066021938	396.67
0.067933204	407.17
0.070019549	417.9
0.071845202	428.68
0.073421727	438.59
0.075243525	448.94
0.076816196	458.87
0.078295545	468.77
0.07969699	479.03
0.081433176	488.81
0.083079895	498.04
0.084310116	507.64
0.085462434	517.19
0.0866888	526.41
0.088004634	535.71
0.088892405	544.65
0.089869643	553.39
0.09109601	562.18
0.091905878	570.82
0.09312839	579.1
0.093860355	586.92
0.094755835	593.88
0.09611407	561.23
0.095732264	547.62
0.095031136	534.13
0.094571426	520.92
0.093784686	507.72
0.093165316	494.26
0.092460333	481.14
0.091837108	467.66
0.091046513	454.49
0.09017416	441.5
0.089301807	428.58
0.088433309	415.52
0.087646569	402.49
0.086606846	390.13
0.085652736	376.74
0.084613013	363.97
0.083655047	350.81
0.081763055	337.75
0.079770032	325.07
0.077021916	312.11
0.07365524	299.27
0.070222224	286.18
0.068054122	273.09
0.065636891	260.3
0.062709841	247.76
0.060035773	235.05
0.057447318	222.23
0.054862717	209.27
0.052103037	196.45
0.049343357	183.9
0.046498064	170.95
0.043656626	158.12
0.041060462	145.68
0.038382539	132.99
0.035373731	119.99
0.032361069	106.91
0.029854371	94.64
0.026584871	81.93
0.023821336	69.31
0.020976044	56.52
0.017959527	43.71
0.014771784	30.66
0.011755267	17.32
0.009077345	5.6
0.006403277	-7.05
0.003133777	-19.13
0.000113405	-31.57
-0.002735742	-44.21
-0.005748405	-56.74
-0.008511939	-69.13
-0.011446699	-81.65
-0.014541119	-94
-0.017386412	-106.04
-0.020570299	-118.56
-0.023586817	-130.74
-0.026346497	-143.17
-0.029191789	-155.23
-0.032037082	-167.53
-0.034882375	-179.53
-0.037474684	-191.59
-0.040152607	-203.54
-0.042912287	-215.75
-0.045594064	-227.72
-0.048867419	-239.97
-0.051541486	-251.7
-0.053709589	-263.62
-0.05741486	-275.46
-0.060092782	-286.84
-0.06225703	-298.5
-0.064674261	-309.57
-0.066846218	-321.32
-0.069345207	-333.02
-0.071517164	-344.24
-0.073856491	-355.27
-0.075938982	-366.05
-0.07759341	-377.08
-0.079415208	-387.73
-0.081159104	-398.56
-0.082899144	-408.79
-0.085149005	-419.17
-0.087317107	-430.07
-0.08981995	-440.1
-0.092155423	-450.28
-0.094156155	-460.12
-0.096153033	-470.2
-0.098235524	-479.87
-0.099979419	-489.51
-0.102147522	-499.15
-0.103556677	-508.64
-0.1055497	-517.69
-0.107371498	-527.26
-0.108858556	-536.46
-0.110427372	-544.85
-0.111494078	-553.53
-0.112895523	-561.56
-0.114219066	-569.31
-0.115830283	-542.82
-0.115210913	-528.52
-0.114591542	-514.29
-0.113964463	-500.65
-0.113095965	-487.14
-0.112558352	-473.97
-0.111935127	-460.3
-0.110977162	-446.97
-0.110346228	-433.63
-0.108886152	-420.37
-0.107753108	-406.85
-0.106363226	-393.63
-0.103611255	-379.85
-0.101100703	-366.66
-0.097578221	-353.49
-0.095242748	-340.4
-0.09256868	-326.65
-0.088976004	-313.49
-0.086893514	-300.13
-0.084301204	-287.1
-0.081292396	-273.37
-0.078443248	-260.42
-0.074749541	-247.23
-0.071818636	-234.32
-0.069058956	-220.86
-0.066050148	-207.67
-0.062776794	-194.44
-0.059674664	-181.24
-0.056152181	-167.88
-0.052968294	-154.91
-0.050294226	-141.64
-0.047627868	-128.85
-0.045043267	-115.91
-0.042283587	-102.77
-0.039613374	-89.66
-0.036857548	-76.89
-0.034269093	-63.96
-0.031595025	-51.69
-0.028068688	-38.92
-0.025223396	-26.7
-0.0223002	-13.72
-0.019793503	-1.49
-0.016866452	10.55
-0.01384608	22.91
-0.010405356	35.8
-0.007470596	48.76
-0.003940404	61.25
-0.000845984	73.61
0.001831938	86.02
0.004167411	97.9
0.006841479	110.44
0.009776239	122.51
0.01279661	134.71
0.016326802	146.97
0.019172095	159.24
0.02176055	171.39
0.022983062	183.46
0.02463749	195.58
0.0272298	207.48
0.029397903	219.44
0.031651618	231.24
0.034325685	242.77
0.036665013	254.61
0.039261177	266.26
0.042184373	277.46
0.044181251	289.13
0.046434966	300.48
0.048011491	312.09
0.050685559	323.19
0.053102789	334.31
0.055597923	345.47
0.059400371	356.41
0.060541124	367.36
0.062199407	378.39
0.06453488	389.22
0.066271066	399.83
0.068945134	410.67
0.070938157	421.14
0.072600295	431.7
0.073912273	442.35
0.075741781	452.51
0.07688639	462.98
0.078611012	472.92
0.079926845	483.03
0.081417758	492.98
0.082651833	502.82
0.083967667	512.6
0.085271936	522.23
0.086498302	531.8
0.087475541	541.1
0.088285409	550.02
0.089593533	559.52
0.090563062	568.78
0.091540301	577.24
0.092350169	585.77
0.093245649	593.79
0.09380639	601.1
0.0945345	606.85
0.09527032	612.4
0.095842624	617.29
0.096578444	620.94
0.09690162	624.62
0.097310409	627.59
0.097719198	630.22
0.098042374	632.36
0.098451163	634.72
0.098778194	636.31
0.09910137	638.3
0.099346644	639.87
0.099506305	641.24
0.099833336	642.65
0.100078609	643.99
0.100156512	645.38
0.100323882	646.44
0.100565301	647.49
0.100647058	648.52
0.100728816	649.28
0.100974089	650.21
0.100974089	650.9
0.101051993	651.8
0.101830213	616.29
0.101370504	602.8
0.100583764	589.55
0.099874926	576.21
0.098924671	562.73
0.098056172	549.81
0.097273287	536.45
0.096400934	523.2
0.095528581	510.15
0.094823598	496.92
0.093951246	483.82
0.093078893	470.74
0.092292153	457.71
0.091501558	444.89
0.090543592	431.86
0.089507724	418.79
0.088390098	406.13
0.087599503	393.22
0.086723296	380.37
0.085850943	367.37
0.084807365	354.6
0.083331871	341.82
0.080832883	329.28
0.078333894	316.31
0.07557036	303.84
0.072639455	290.83
0.069712404	278.11
0.067123949	265.69
0.064446027	252.88
0.061347752	240.58
0.058591926	227.85
0.055762052	216.27
0.053080275	203.03
0.050487965	190.42
0.047728285	177.62
0.045050363	165.26
0.042119458	152.78
0.039441535	140.61
0.036681855	127.83
0.033922175	115.39
0.03115864	103.24
0.02839896	90.96
0.025802796	78.77
0.023210486	66.62
0.020450806	54.19
0.017780592	41.95
0.015106525	29.37
0.012261232	17.28
0.00958331	5.51
0.006909242	-6.56
0.004313077	-18.19
0.00197375	-29.61
-0.000704172	-41.55
-0.003214725	-53.12
-0.00614563	-64.53
-0.008831261	-76.09
