qpz (%)	Lateral Force (kN)
-0.007900279	1.81
-0.005382017	11.17
-0.002953223	21.19
-0.000863023	31.66
0.001223322	41.58
0.003231764	51.89
0.005321963	62.05
0.007416017	71.9
0.009506217	82.13
0.011343434	92.18
0.013176796	101.8
0.015095771	111.83
0.017104213	121.68
0.01945125	131.82
0.022308106	141.7
0.025336187	151.82
0.027508145	161.93
0.02963689	150.78
0.029500357	140.16
0.029029084	130.24
0.02856552	119.98
0.027759507	110.23
0.026774559	99.96
0.025451016	89.74
0.023874491	79.74
0.021613067	69.95
0.019355497	59.62
0.017261443	49.62
0.015171243	39.74
0.013162802	29.52
0.011068747	18.9
0.009145918	9.55
0.006876784	-0.64
0.004864488	-10.28
0.002856046	-20
0.000758137	-29.96
-0.001585045	-40.34
-0.003932081	-50.06
-0.005854911	-60.23
-0.008026868	-70.23
-0.010284438	-80.24
-0.012709378	-90.7
-0.015048705	-100.94
-0.016804164	-111.15
-0.018804897	-120.88
-0.021490528	-131.44
-0.023849129	-141.37
-0.026367391	-151.18
-0.029060732	-161.4
-0.031423187	-149.23
-0.031037526	-138.17
-0.030406592	-127.72
-0.029935319	-117.52
-0.029129305	-107.52
-0.028155921	-96.96
-0.027423956	-87.02
-0.026018656	-76.59
-0.024695113	-66.46
-0.023032976	-56.44
-0.020510859	-46.55
-0.018159968	-36.55
-0.016062059	-26.67
-0.013621701	-16.8
-0.011356422	-7.12
-0.008923773	2.79
-0.006576736	12.45
-0.003976717	22.15
-0.001800905	32.91
0.00046052	42.88
0.002465107	52.92
0.004298469	62.57
0.006474281	72.68
0.008560626	82.94
0.010569068	92.83
0.012495752	102.74
0.014585951	112.48
0.016847376	122.74
0.01945125	132.2
0.021883899	142.6
0.024398306	152.86
0.026574117	162.64
0.028438317	152.4
0.028216172	141.69
0.027834365	131.54
0.027281334	121.67
0.026895673	111.51
0.026085805	101.34
0.02485173	91.31
0.023785024	81.34
0.022119032	71.42
0.020032687	61.22
0.017856875	51.27
0.015848433	41.16
0.013590864	31.2
0.011496809	20.9
0.009317143	10.68
0.007137476	0.99
0.005210792	-8.57
0.003027271	-18.43
0.001100587	-28.51
-0.00124645	-38.37
-0.003675244	-48.75
-0.005765444	-58.59
-0.007855643	-68.71
-0.010031455	-78.84
-0.012036042	-89.01
-0.01437537	-99.24
-0.016718552	-109.25
-0.019236813	-119.39
-0.02141648	-129.64
-0.023596147	-139.76
-0.026534761	-150.04
-0.029053022	-160.19
-0.030493014	-149.9
-0.030274724	-138.71
-0.029974675	-128.05
-0.029172516	-117.53
-0.028701243	-107.71
-0.027891375	-96.89
-0.026999749	-86.98
-0.026100413	-76.89
-0.02495195	-66.61
-0.023628408	-56.43
-0.020767697	-46.66
-0.01909785	-36.69
-0.015976447	-26.7
-0.013364864	-16.97
-0.010671523	-7.12
-0.008320631	2.75
-0.005806224	12.3
-0.003459188	22.26
-0.001116006	32.44
0.000974194	42.6
0.003150006	52.73
0.005240205	62.55
0.006995665	72.88
0.008832882	82.75
0.010584486	92.6
0.012332236	102.84
0.014496484	112.61
0.016337556	122.39
0.018349852	132.18
0.02085655	142.51
0.023036216	152.79
0.025387108	162.79
0.026905003	152.79
0.026931986	141.93
0.026546325	131.81
0.026075051	121.59
0.025775003	111.51
0.025225826	101.59
0.024412104	91.52
0.023174173	81.49
0.022274838	71.6
0.020698313	61.39
0.018689871	51.28
0.016514059	41.39
0.014163168	31.24
0.012072968	20.78
0.009811544	10.37
0.007464507	1.16
0.005374308	-8.84
0.003198496	-18.6
0.000851459	-28.46
-0.001242595	-38.73
-0.003418407	-48.53
-0.005761589	-58.55
-0.007937401	-68.68
-0.010366196	-79.04
-0.012538153	-88.86
-0.01488519	-99.11
-0.016469424	-109.61
-0.018820315	-119.32
-0.021420335	-129.69
-0.023677904	-139.68
-0.026196166	-150.05
-0.028461445	-160.08
-0.030150565	-149.55
-0.029932274	-138.49
-0.029464855	-127.97
-0.028997437	-117.64
-0.028358793	-107.44
-0.027638392	-97.11
-0.026657299	-87.15
-0.025508836	-76.55
-0.024780725	-66.44
-0.023628408	-56.7
-0.020853309	-46.55
-0.018926625	-36.93
-0.015890834	-26.54
-0.013368718	-16.96
-0.011189052	-7.04
-0.008666935	2.71
-0.006152529	12.38
-0.004062329	22.39
-0.001890372	32.92
0.000289295	42.92
0.002721944	52.66
0.005065126	62.83
0.006987955	73.05
0.008996397	82.89
0.011000984	92.78
0.013095039	102.81
0.015274705	112.57
0.017111922	122.67
0.019369492	132.54
0.021712674	142.49
0.023460424	152.8
0.025301495	162.73
0.026986761	152.65
0.026928131	142.04
0.026297197	131.51
0.025907681	121.34
0.025525875	111.62
0.025140214	101.4
0.024248588	91.48
0.023100125	81.61
0.021866049	71.4
0.020371282	61.39
0.018109858	51.4
0.016011949	41.54
0.013921749	31.22
0.0114891	20.92
0.009395046	10.68
0.007386604	0.98
0.00529255	-8.83
0.003198496	-18.64
0.001271812	-28.2
-0.00107137	-38.61
-0.003336649	-48.47
-0.005936669	-58.43
-0.008283705	-68.52
-0.01037005	-78.9
-0.012545862	-89.11
-0.014717819	-99.27
-0.017146614	-109.31
-0.01932628	-119.35
-0.021755075	-129.49
-0.024191579	-139.83
-0.026281778	-149.78
-0.02845759	-160.36
-0.030150565	-150.03
-0.030014032	-138.23
-0.029464855	-127.83
-0.028915679	-117.4
-0.028444406	-107.67
-0.027805762	-97.24
-0.026995894	-86.89
-0.025676206	-76.54
-0.024527743	-66.51
-0.022951218	-56.53
-0.01999333	-46.52
-0.018494708	-36.73
-0.016143817	-26.61
-0.013197493	-16.75
-0.010593619	-7.15
-0.008242728	2.69
-0.005810079	12.21
-0.003548655	22.43
-0.000866878	32.87
0.001476304	42.89
0.003488601	52.72
0.005660558	62.83
0.00749392	72.86
0.00958412	83.05
0.011417482	92.89
0.013340312	102.86
0.015095771	112.41
0.017100358	122.41
0.018937575	132.16
0.021198999	142.66
0.023293054	152.92
0.025293786	162.7
0.026982906	152.5
0.026842519	141.83
0.026293342	131.58
0.025825924	121.5
0.025525875	111.52
0.024972844	101.41
0.024248588	91.58
0.023014513	81.52
0.022033419	71.49
0.020200057	61.22
0.018281082	51.17
0.016272641	41.34
0.014096829	31.27
0.01166418	20.76
0.009823108	10.57
0.007729054	1.07
0.005549387	-8.87
