L_Link_disp     L_Link_shear
0.000403386     -1126.49
0.000337979     -1169.26
0.000272573     -1212.02
0.000207167     -1254.79
0.000141761     -1297.56
7.63554e-05     -1340.32
1.09494e-05     -1383.09
-5.44566e-05     -1425.85
-0.000119863     -1468.62
-0.000185269     -1511.38
-0.000250675     -1554.15
-0.000316081     -1596.91
-0.000381479     -1639.67
-0.000446759     -1682.35
-0.00051143     -1724.43
-0.000575605     -1763.88
-0.000644943     -1797.07
-0.000731504     -1822.54
-0.000845259     -1841.9
-0.000991167     -1857.13
-0.00117065     -1869.52
-0.00138281     -1879.86
-0.00162531     -1888.65
-0.00189508     -1896.25
-0.00218885     -1902.88
-0.00250344     -1908.74
-0.00283598     -1913.96
-0.00318395     -1918.64
-0.00354517     -1922.89
-0.00391779     -1926.75
-0.00430025     -1930.3
-0.00423485     -1887.53
-0.00416944     -1844.77
-0.00410404     -1802
-0.00403863     -1759.23
-0.00397322     -1716.47
-0.00390782     -1673.7
-0.00384241     -1630.94
-0.00377701     -1588.17
-0.0037116     -1545.41
-0.00364619     -1502.64
-0.00358079     -1459.88
-0.00351538     -1417.11
-0.00344998     -1374.34
-0.00338457     -1331.58
-0.00331916     -1288.81
-0.00325376     -1246.05
-0.00318835     -1203.28
-0.00312295     -1160.52
-0.00305754     -1117.75
-0.00299213     -1074.99
-0.00292673     -1032.22
-0.00286132     -989.455
-0.00279592     -946.69
-0.00273051     -903.924
-0.0026651     -861.159
-0.0025997     -818.393
-0.00253429     -775.628
-0.00246889     -732.863
-0.00240348     -690.097
-0.00233807     -647.332
-0.00227267     -604.566
-0.00220726     -561.801
-0.00214186     -519.035
-0.00207645     -476.27
-0.00201104     -433.504
-0.00194564     -390.739
-0.00188023     -347.973
-0.00181483     -305.208
-0.00174942     -262.442
-0.00168401     -219.677
-0.00161861     -176.911
-0.0015532     -134.146
-0.0014878     -91.3804
-0.00142239     -48.6149
-0.00135698     -5.84942
-0.00129158     36.9161
-0.00122617     79.6815
-0.00116076     122.447
-0.00109536     165.212
-0.00102995     207.978
-0.000964547     250.743
-0.000899141     293.509
-0.000833735     336.274
-0.000768329     379.04
-0.000702923     421.805
-0.000637517     464.571
-0.000572111     507.336
-0.000506705     550.102
-0.000441299     592.867
-0.000375893     635.633
-0.000310487     678.398
-0.000245081     721.164
-0.000179674     763.929
-0.000114268     806.695
-4.88624e-05     849.46
1.65436e-05     892.226
8.19496e-05     934.991
0.000147356     977.757
0.000212762     1020.52
0.000278168     1063.29
0.000343574     1106.05
0.00040898     1148.82
0.000474386     1191.58
0.000539792     1234.35
0.000605198     1277.11
0.000670604     1319.88
0.00073601     1362.65
0.000801416     1405.41
0.000866822     1448.18
0.000932228     1490.94
0.000997634     1533.71
0.00106304     1576.47
0.00112837     1619.19
0.00119337     1661.56
0.00125821     1702.39
0.00132693     1738.84
0.00140999     1768.31
0.00151813     1791.01
0.00165701     1808.73
0.00182833     1822.97
0.00203145     1834.76
0.00226433     1844.73
0.00252423     1853.29
0.00280816     1860.76
0.00311315     1867.34
0.00343645     1873.19
0.00377563     1878.45
0.00412854     1883.2
0.00449336     1887.53
0.0048685     1891.49
0.00477039     1827.34
0.00467228     1763.2
0.00457417     1699.05
0.00447606     1634.9
0.00437795     1570.75
0.00427984     1506.6
0.00418173     1442.45
0.00408362     1378.31
0.00398551     1314.16
0.00388741     1250.01
0.0037893     1185.86
0.00369119     1121.71
0.00359308     1057.57
0.00349497     993.417
0.00339686     929.269
0.00329875     865.121
0.00320064     800.973
0.00310253     736.825
0.00300442     672.676
0.00290632     608.528
0.00280821     544.38
0.0027101     480.232
0.00261199     416.083
0.00251388     351.935
0.00241577     287.787
0.00231766     223.639
0.00221955     159.491
0.00212144     95.3424
0.00202333     31.1942
0.00192522     -32.954
0.00182712     -97.1023
0.00172901     -161.25
0.0016309     -225.399
0.00153279     -289.547
0.00143468     -353.695
0.00133657     -417.843
0.00123846     -481.992
0.00114035     -546.14
0.00104224     -610.288
0.000944134     -674.436
0.000846025     -738.584
0.000747916     -802.733
0.000649807     -866.881
0.000551698     -931.029
0.000453589     -995.177
0.00035548     -1059.33
0.000257371     -1123.47
0.000159262     -1187.62
6.11531e-05     -1251.77
-3.6956e-05     -1315.92
-0.000135065     -1380.07
-0.000233174     -1444.21
-0.000331283     -1508.36
-0.000429392     -1572.51
-0.000527474     -1636.64
-0.000624953     -1700.22
-0.000722721     -1758.66
-0.000844375     -1802.4
-0.00102627     -1831.73
-0.00128263     -1852.47
-0.00161208     -1868.12
-0.00200608     -1880.47
