L_Link_disp     L_Link_shear
0     0
-3.38932e-05     -22.1609
-6.77864e-05     -44.3219
-0.00010168     -66.4828
-0.000135573     -88.6437
-0.000169466     -110.805
-0.000203359     -132.966
-0.000237252     -155.126
-0.000271145     -177.287
-0.000305039     -199.448
-0.000338932     -221.609
-0.000372825     -243.77
-0.000406718     -265.931
-0.000440611     -288.092
-0.000474505     -310.253
-0.000508398     -332.414
-0.000542291     -354.575
-0.000576184     -376.736
-0.000610077     -398.897
-0.000643971     -421.058
-0.000677864     -443.219
-0.000711757     -465.38
-0.00074565     -487.54
-0.000779543     -509.701
-0.000813436     -531.862
-0.00084733     -554.023
-0.000881223     -576.184
-0.000915116     -598.345
-0.000949009     -620.506
-0.000982902     -642.667
-0.0010168     -664.828
-0.00105069     -686.989
-0.00108458     -709.15
-0.00111848     -731.311
-0.00115237     -753.472
-0.00118626     -775.633
-0.00122015     -797.793
-0.00125405     -819.954
-0.00128794     -842.115
-0.00132183     -864.276
-0.00135573     -886.437
-0.00138962     -908.598
-0.00142351     -930.759
-0.00145741     -952.92
-0.0014913     -975.081
-0.00152519     -997.242
-0.00155909     -1019.4
-0.00159298     -1041.56
-0.00162687     -1063.72
-0.00166077     -1085.89
-0.00169466     -1108.05
-0.00172855     -1130.21
-0.00176245     -1152.37
-0.00179634     -1174.53
-0.00183023     -1196.69
-0.00186413     -1218.85
-0.00189802     -1241.01
-0.00193191     -1263.17
-0.0019658     -1285.33
-0.0019997     -1307.49
-0.00203359     -1329.66
-0.00206748     -1351.82
-0.00210138     -1373.98
-0.00213527     -1396.14
-0.00216916     -1418.3
-0.00220306     -1440.46
-0.00223695     -1462.62
-0.00227084     -1484.78
-0.00230474     -1506.94
-0.00233863     -1529.1
-0.00237252     -1551.27
-0.00240642     -1573.43
-0.00244031     -1595.59
-0.0024742     -1617.75
-0.0025081     -1639.91
-0.00254199     -1662.07
-0.00257588     -1684.23
-0.00260978     -1706.39
-0.00264367     -1728.55
-0.00267756     -1750.71
-0.00271145     -1772.87
-0.00274536     -1795.03
-0.00277937     -1817.19
-0.00281409     -1839.32
-0.00285164     -1861.34
-0.00289814     -1883.01
-0.00296747     -1903.79
-0.00308237     -1922.79
-0.00326517     -1939.12
-0.00352334     -1952.47
-0.0038481     -1963.16
-0.00422448     -1971.77
-0.00463875     -1978.83
-0.00508046     -1984.72
-0.0055421     -1989.74
-0.00601826     -1994.09
-0.006505     -1997.91
-0.00699938     -2001.3
-0.00749911     -2004.34
-0.00800242     -2007.1
-0.00850785     -2009.61
-0.00844006     -1965.29
-0.00837228     -1920.97
-0.00830449     -1876.65
-0.0082367     -1832.32
-0.00816892     -1788
-0.00810113     -1743.68
-0.00803334     -1699.36
-0.00796556     -1655.04
-0.00789777     -1610.71
-0.00782998     -1566.39
-0.0077622     -1522.07
-0.00769441     -1477.75
-0.00762663     -1433.43
-0.00755884     -1389.11
-0.00749105     -1344.78
-0.00742327     -1300.46
-0.00735548     -1256.14
-0.00728769     -1211.82
-0.00721991     -1167.5
-0.00715212     -1123.17
-0.00708433     -1078.85
-0.00701655     -1034.53
-0.00694876     -990.208
-0.00688097     -945.886
-0.00681319     -901.565
-0.0067454     -857.243
-0.00667762     -812.921
-0.00660983     -768.599
-0.00654204     -724.277
-0.00647426     -679.955
-0.00640647     -635.633
-0.00633868     -591.312
-0.0062709     -546.99
-0.00620311     -502.668
-0.00613532     -458.346
-0.00606754     -414.024
-0.00599975     -369.702
-0.00593197     -325.38
-0.00586418     -281.059
-0.00579639     -236.737
-0.00572861     -192.415
-0.00566082     -148.093
-0.00559303     -103.771
-0.00552525     -59.4493
-0.00545746     -15.1275
-0.00538968     29.1944
-0.00532189     73.5162
-0.0052541     117.838
-0.00518632     162.16
-0.00511853     206.482
-0.00505074     250.804
-0.00498296     295.126
-0.00491517     339.447
-0.00484738     383.769
-0.0047796     428.091
-0.00471181     472.413
-0.00464402     516.735
-0.00457624     561.057
-0.00450845     605.379
-0.00444067     649.7
-0.00437288     694.022
-0.00430509     738.344
-0.00423731     782.666
-0.00416952     826.988
-0.00410173     871.31
-0.00403395     915.632
-0.00396616     959.953
-0.00389837     1004.28
-0.00383059     1048.6
-0.0037628     1092.92
-0.00369502     1137.24
-0.00362723     1181.56
-0.00355944     1225.88
-0.00349166     1270.21
-0.00342387     1314.53
-0.00335608     1358.85
-0.0032883     1403.17
-0.00322051     1447.49
-0.00315272     1491.82
-0.00308494     1536.14
-0.00301706     1580.46
-0.00294794     1624.73
-0.0028705     1668.67
-0.00275728     1711.23
-0.00254146     1749.79
-0.00214437     1781.28
-0.00155051     1805.07
-0.000803612     1822.83
4.6772e-05     1836.44
0.000965366     1847.25
0.00192943     1856.12
0.00292414     1863.58
0.00393941     1870
0.00496797     1875.6
0.00600433     1880.55
0.00704415     1884.98
0.00808385     1888.98
0.00912043     1892.61
0.0101513     1895.93
0.0111744     1898.98
0.0111066     1854.65
0.0110388     1810.33
0.010971     1766.01
0.0109032     1721.69
0.0108354     1677.37
0.0107676     1633.04
0.0106999     1588.72
0.0106321     1544.4
0.0105643     1500.08
0.0104965     1455.76
0.0104287     1411.44
0.0103609     1367.11
0.0102931     1322.79
0.0102254     1278.47
0.0101576     1234.15
0.0100898     1189.83
0.010022     1145.5
0.00995421     1101.18
0.00988642     1056.86
0.00981864     1012.54
0.00975085     968.217
0.00968306     923.895
0.00961528     879.573
0.00954749     835.251
0.0094797     790.929
0.00941192     746.608
0.00934413     702.286
0.00927634     657.964
0.00920856     613.642
0.00914077     569.32
0.00907299     524.998
0.0090052     480.676
0.00893741     436.355
0.00886963     392.033
0.00880184     347.711
0.00873405     303.389
0.00866627     259.067
0.00859848     214.745
0.00853069     170.423
0.00846291     126.102
0.00839512     81.7797
0.00832734     37.4579
0.00825955     -6.86399
0.00819176     -51.1858
0.00812398     -95.5077
0.00805619     -139.83
0.0079884     -184.151
0.00792062     -228.473
0.00785283     -272.795
0.00778504     -317.117
0.00771726     -361.439
0.00764947     -405.761
0.00758169     -450.083
0.0075139     -494.404
0.00744611     -538.726
0.00737833     -583.048
0.00731054     -627.37
0.00724275     -671.692
0.00717497     -716.014
0.00710718     -760.336
0.00703939     -804.657
0.00697161     -848.979
0.00690382     -893.301
0.00683604     -937.623
0.00676825     -981.945
0.00670046     -1026.27
0.00663268     -1070.59
0.00656489     -1114.91
0.0064971     -1159.23
0.00642932     -1203.55
0.00636153     -1247.88
0.00629374     -1292.2
0.00622596     -1336.52
0.00615817     -1380.84
0.00609039     -1425.16
0.0060226     -1469.49
0.00595481     -1513.81
0.00588703     -1558.13
0.00581924     -1602.45
0.00575145     -1646.77
0.00568346     -1691.09
0.00561237     -1735.28
0.00551951     -1778.63
0.00533808     -1818.53
0.00496089     -1850.81
0.00435562     -1874.21
0.00357938     -1890.92
0.00269434     -1903.36
0.00174063     -1913.06
0.000742088     -1920.92
-0.000286667     -1927.5
-0.00133606     -1933.12
-0.00239937     -1938.02
-0.00347158     -1942.36
-0.00454868     -1946.23
-0.00562728     -1949.73
-0.00670441     -1952.9
-0.00777739     -1955.81
-0.0088438     -1958.48
-0.00990141     -1960.95
-0.00983362     -1916.63
-0.00976584     -1872.31
-0.00969805     -1827.99
-0.00963027     -1783.67
-0.00956248     -1739.34
-0.00949469     -1695.02
-0.00942691     -1650.7
-0.00935912     -1606.38
-0.00929133     -1562.06
-0.00922355     -1517.73
