U_Link_disp     U_Link_shear
-0.00148401     -874.511
-0.00154844     -904.248
-0.00161287     -933.986
-0.00167731     -963.723
-0.00174174     -993.46
-0.00180617     -1023.2
-0.0018706     -1052.93
-0.00193503     -1082.67
-0.00199945     -1112.4
-0.00206371     -1142.07
-0.00212689     -1171.22
-0.00218563     -1198.33
-0.00223461     -1220.92
-0.00227246     -1238.23
-0.00230255     -1251.56
-0.00232849     -1262.35
-0.00235282     -1271.49
-0.00237733     -1279.54
-0.00240346     -1286.8
-0.00243254     -1293.47
-0.00246586     -1299.69
-0.00250481     -1305.54
-0.00255084     -1311.07
-0.00260551     -1316.32
-0.00267047     -1321.33
-0.0027474     -1326.11
-0.00283801     -1330.68
-0.00294396     -1335.04
-0.00287953     -1305.31
-0.0028151     -1275.57
-0.00275067     -1245.83
-0.00268624     -1216.1
-0.00262181     -1186.36
-0.00255738     -1156.62
-0.00249295     -1126.88
-0.00242852     -1097.15
-0.00236408     -1067.41
-0.00229965     -1037.67
-0.00223522     -1007.93
-0.00217079     -978.197
-0.00210636     -948.459
-0.00204193     -918.722
-0.0019775     -888.985
-0.00191307     -859.247
-0.00184864     -829.51
-0.00178421     -799.773
-0.00171978     -770.036
-0.00165535     -740.298
-0.00159091     -710.561
-0.00152648     -680.824
-0.00146205     -651.086
-0.00139762     -621.349
-0.00133319     -591.612
-0.00126876     -561.875
-0.00120433     -532.137
-0.0011399     -502.4
-0.00107547     -472.663
-0.00101104     -442.925
-0.000946607     -413.188
-0.000882176     -383.451
-0.000817745     -353.713
-0.000753314     -323.976
-0.000688884     -294.239
-0.000624453     -264.502
-0.000560022     -234.764
-0.000495591     -205.027
-0.00043116     -175.29
-0.00036673     -145.552
-0.000302299     -115.815
-0.000237868     -86.0778
-0.000173437     -56.3405
-0.000109006     -26.6032
-4.45755e-05     3.13412
1.98554e-05     32.8714
8.42862e-05     62.6087
0.000148717     92.346
0.000213148     122.083
0.000277579     151.821
0.000342009     181.558
0.00040644     211.295
0.000470871     241.033
0.000535302     270.77
0.000599733     300.507
0.000664163     330.244
0.000728594     359.982
0.000793025     389.719
0.000857456     419.456
0.000921887     449.194
0.000986318     478.931
0.00105075     508.668
0.00111518     538.405
0.00117961     568.143
0.00124404     597.88
0.00130847     627.617
0.0013729     657.355
0.00143733     687.092
0.00150176     716.829
0.00156619     746.567
0.00163063     776.304
0.00169506     806.041
0.00175949     835.778
0.00182392     865.516
0.00188835     895.253
0.00195278     924.99
0.00201721     954.728
0.00208164     984.465
0.00214607     1014.2
0.0022105     1043.94
0.00227493     1073.67
0.00233926     1103.37
0.00240297     1132.77
0.00246402     1160.95
0.00251813     1185.9
0.00256211     1206
0.00259753     1221.62
0.00262801     1234.08
0.00265659     1244.44
0.00268551     1253.4
0.00271651     1261.37
0.00275111     1268.6
0.00279077     1275.27
0.00283695     1281.48
0.00289114     1287.32
0.00295488     1292.83
0.00302973     1298.05
0.00311725     1303.02
0.00321896     1307.74
0.00333627     1312.23
0.00323963     1267.62
0.00314298     1223.02
0.00304634     1178.41
0.00294969     1133.8
0.00285304     1089.2
0.0027564     1044.59
0.00265975     999.987
0.0025631     955.381
0.00246646     910.775
0.00236981     866.169
0.00227317     821.563
0.00217652     776.957
0.00207987     732.351
0.00198323     687.745
0.00188658     643.139
0.00178993     598.533
0.00169329     553.927
0.00159664     509.321
0.0015     464.715
0.00140335     420.109
0.0013067     375.503
0.00121006     330.897
0.00111341     286.292
0.00101676     241.686
0.000920119     197.08
0.000823472     152.474
0.000726826     107.868
0.00063018     63.2618
0.000533534     18.6559
0.000436888     -25.9501
0.000340241     -70.556
0.000243595     -115.162
0.000146949     -159.768
5.03027e-05     -204.374
-4.63436e-05     -248.98
-0.00014299     -293.586
-0.000239636     -338.192
-0.000336282     -382.798
-0.000432928     -427.404
-0.000529575     -472.01
-0.000626221     -516.615
-0.000722867     -561.221
-0.000819513     -605.827
-0.00091616     -650.433
-0.00101281     -695.039
-0.00110945     -739.645
-0.0012061     -784.251
-0.00130274     -828.857
-0.00139939     -873.463
-0.00149604     -918.069
-0.00159268     -962.675
-0.00168933     -1007.28
-0.00178598     -1051.89
-0.00188261     -1096.49
-0.00197887     -1140.91
-0.00207037     -1183.14
-0.00214342     -1216.82
-0.0021948     -1239.85
-0.00223591     -1256.37
-0.00227552     -1269.45
-0.00231937     -1280.53
-0.0023723     -1290.31
-0.00243913     -1299.17
-0.00252501     -1307.31
-0.00263538     -1314.86
-0.0027758     -1321.87
-0.00295154     -1328.39
-0.0031672     -1334.46
-0.00342629     -1340.08
-0.00373095     -1345.28
-0.00408191     -1350.08
-0.00447857     -1354.51
